date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-06-08,sz.301125,38.7800,40.7700,35.5000,36.3100,22.4900,11448697,431522443.4400,66.688000,1,61.449500,49.161295,8.056891,5.522074,-324.960058,0
2022-06-09,sz.301125,36.3100,36.8000,33.5800,33.5900,36.3100,7676457,267616940.9100,44.714900,1,-7.491000,45.478598,7.453345,5.108413,-300.617140,0
2022-06-10,sz.301125,34.0000,35.3500,33.3900,34.1400,33.5900,5762055,197781798.1500,33.563600,1,1.637400,46.223261,7.575385,5.192057,-305.539421,0
2022-06-13,sz.301125,34.9900,35.8400,33.3000,34.1100,34.1400,6941642,241004005.7400,40.434700,1,-0.087900,46.182643,7.568729,5.187495,-305.270933,0
2022-06-14,sz.301125,32.0000,32.5800,31.5800,31.7100,34.1100,6621542,211623187.8400,38.570100,1,-7.036100,42.933204,7.036188,4.822500,-283.791888,0
2022-06-15,sz.301125,31.5000,31.8600,30.7100,30.7900,31.7100,5285814,164744917.4900,30.789600,1,-2.901300,41.687586,6.832048,4.682585,-275.558254,0
2022-06-16,sz.301125,31.0000,31.5000,30.5000,31.4500,30.7900,4381845,135746989.2300,25.524000,1,2.143600,42.581182,6.978497,4.782959,-281.464991,0
2022-06-17,sz.301125,30.8500,31.1900,30.3300,30.7000,31.4500,3352134,103173940.9700,19.526000,1,-2.384700,41.565732,6.812078,4.668898,-274.752790,0
2022-06-20,sz.301125,30.8800,31.7400,30.8000,31.0500,30.7000,4260669,133175727.2400,24.818100,1,1.140100,42.039609,6.889740,4.722126,-277.885150,0
2022-06-21,sz.301125,31.2000,35.8000,31.2000,33.3100,31.0500,8847207,296614534.8000,51.534500,1,7.278600,45.099497,7.391215,5.065830,-298.111251,0
2022-06-22,sz.301125,31.1000,31.8200,30.9000,31.3500,33.3100,6683925,208847504.4700,38.933500,1,-5.884100,42.445789,6.956307,4.767750,-280.570031,0
2022-06-23,sz.301125,30.8300,31.2500,30.5000,31.1700,31.3500,4148691,128084086.3400,24.165900,1,-0.574200,42.202081,6.916367,4.740376,-278.959103,0
2022-06-24,sz.301125,31.3000,31.4500,30.8900,30.9900,31.1700,3297857,102567784.8300,19.209800,1,-0.577500,41.958373,6.876426,4.713001,-277.348174,0
2022-06-27,sz.301125,31.3000,32.1500,31.0000,32.0300,30.9900,4271889,134633617.3600,24.883500,1,3.355900,43.366463,7.107194,4.871166,-286.655761,0
2022-06-28,sz.301125,32.2200,33.3300,31.5800,31.9300,32.0300,5242691,170174611.8200,30.538400,1,-0.312200,43.231070,7.085005,4.855958,-285.760800,0
2022-06-29,sz.301125,32.0200,32.6600,31.0000,31.0000,31.9300,4166751,131691719.0000,24.271100,1,-2.912600,41.971912,6.878645,4.714522,-277.437670,0
2022-06-30,sz.301125,31.7000,31.8600,31.1000,31.2800,31.0000,2972041,93463047.2000,17.312000,1,0.903200,42.351013,6.940775,4.757105,-279.943559,0
2022-07-01,sz.301125,31.1000,32.0200,30.7600,31.9600,31.2800,3311221,103911966.1200,19.287700,1,2.173900,43.271688,7.091661,4.860520,-286.029288,0
2022-07-04,sz.301125,31.9600,32.3000,31.3100,31.3900,31.9600,2965546,93971377.5900,17.274100,1,-1.783500,42.499946,6.965183,4.773834,-280.928015,0
2022-07-05,sz.301125,31.5000,31.5000,30.2700,30.5000,31.3900,3279140,100777954.1100,19.100800,1,-2.835300,41.294946,6.767699,4.638481,-272.962869,0
2022-07-06,sz.301125,30.5300,31.4900,30.2700,31.4200,30.5000,3621018,112222414.1200,21.092200,1,3.016400,42.540564,6.971840,4.778396,-281.196503,0
2022-07-07,sz.301125,31.0100,31.1100,30.2000,30.5100,31.4200,2832063,86535326.5800,16.496600,1,-2.896200,41.308485,6.769918,4.640002,-273.052365,0
2022-07-08,sz.301125,31.4000,33.2800,31.3900,31.4200,30.5100,5298448,170631013.7200,30.863100,1,2.982600,42.540564,6.971840,4.778396,-281.196503,0
2022-07-11,sz.301125,30.6200,32.0400,30.6200,31.1300,31.4200,2670246,83490438.4400,15.554000,1,-0.923000,42.147924,6.907491,4.734293,-278.601119,0
2022-07-12,sz.301125,30.8600,32.2800,30.5500,31.9800,31.1300,3543717,112082420.5600,20.641900,1,2.730500,43.298766,7.096099,4.863562,-286.208280,0
2022-07-13,sz.301125,31.6000,32.4800,31.4000,32.2800,31.9800,4118960,132057995.7300,23.992700,1,0.938100,43.704946,7.162667,4.909186,-288.893161,0
2022-07-14,sz.301125,32.0000,35.1200,31.7100,33.8000,32.2800,6869072,231467418.6300,40.011900,1,4.708800,45.762924,7.499942,5.140350,-302.496557,0
2022-07-15,sz.301125,36.1300,40.5600,36.1300,40.5600,33.8000,4283717,170435793.0700,24.952400,1,20.000000,54.915508,8.999931,6.168420,-362.995868,0
2022-07-18,sz.301125,36.2500,39.1800,35.2800,37.2000,40.5600,10272743,377871405.0500,59.838100,1,-8.284000,50.366295,8.254374,5.657426,-332.925204,0
2022-07-19,sz.301125,36.0500,36.6800,35.4100,35.6000,37.2000,6646198,238426323.2600,38.713700,1,-4.301100,48.200002,7.899347,5.414096,-318.605841,0
2022-07-20,sz.301125,35.6000,36.1400,35.2000,35.6100,35.6000,3998418,142657574.7500,23.290600,1,0.028100,48.213542,7.901566,5.415617,-318.695337,0
2022-07-21,sz.301125,35.3000,36.1100,34.5800,36.0500,35.6100,4925556,174331051.7400,28.691100,1,1.235600,48.809272,7.999199,5.482533,-322.633162,0
2022-07-22,sz.301125,35.5100,35.6000,33.8000,33.9000,36.0500,4667787,161417888.7300,27.189600,1,-5.963900,45.898317,7.522131,5.155558,-303.391517,0
2022-07-25,sz.301125,34.0000,34.6400,33.6600,34.4000,33.9000,2955235,100916291.1600,17.214100,1,1.474900,46.575283,7.633077,5.231599,-307.866318,0
2022-07-26,sz.301125,34.0000,34.3900,32.8800,33.7400,34.4000,2892037,96744102.4500,16.845900,1,-1.918600,45.681688,7.486629,5.131225,-301.959580,0
2022-07-27,sz.301125,33.5100,34.1900,33.4100,33.8800,33.7400,2420264,81809427.0900,14.097900,1,0.414900,45.871238,7.517694,5.152516,-303.212525,0
2022-07-28,sz.301125,34.3500,34.8100,33.7900,34.6500,33.8800,3779558,130009815.5900,22.015700,1,2.272700,46.913766,7.688550,5.269619,-310.103719,0
2022-07-29,sz.301125,34.1100,35.0200,33.9000,34.5900,34.6500,3514157,121435534.4000,20.469800,1,-0.173200,46.832530,7.675237,5.260494,-309.566742,0
2022-08-01,sz.301125,34.6000,35.8600,34.0200,35.8600,34.5900,4427992,156146890.9900,25.792800,1,3.671600,48.552025,7.957039,5.453637,-320.932737,0
2022-08-02,sz.301125,35.0000,35.0200,31.8400,31.9000,35.8600,4723550,156044689.7200,27.514400,1,-11.042900,43.190452,7.078348,4.851395,-285.492312,0
2022-08-03,sz.301125,32.0000,33.7300,31.8700,32.2500,31.9000,3805277,125233141.5300,22.165500,1,1.097200,43.664328,7.156010,4.904624,-288.624673,0
2022-08-04,sz.301125,32.5500,32.7400,31.6100,32.7400,32.2500,2383759,76928725.3400,13.885300,1,1.519400,44.327755,7.264737,4.979144,-293.009978,0
2022-08-05,sz.301125,32.5500,32.8400,31.4200,32.0800,32.7400,2577558,82426585.2900,15.014100,1,-2.015900,43.434160,7.118288,4.878770,-287.103241,0
2022-08-08,sz.301125,32.0800,32.6500,31.5000,32.6500,32.0800,1841043,59396248.9600,10.724000,1,1.776800,44.205901,7.244767,4.965456,-292.204514,0
2022-08-09,sz.301125,32.5100,33.1200,32.3500,32.9200,32.6500,1996509,65444556.0500,11.629500,1,0.827000,44.571463,7.304677,5.006518,-294.620907,0
2022-08-10,sz.301125,33.1300,34.5000,32.5800,33.5600,32.9200,3307160,110241072.1500,19.264000,1,1.944100,45.437980,7.446688,5.103850,-300.348652,0
2022-08-11,sz.301125,33.4000,33.4000,32.8600,32.9900,33.5600,2329325,77087916.3300,13.568200,1,-1.698500,44.666238,7.320210,5.017164,-295.247379,0
2022-08-12,sz.301125,32.8200,33.3600,31.8700,31.9300,32.9900,2618078,85037998.4700,15.250200,1,-3.213100,43.231070,7.085005,4.855958,-285.760800,0
2022-08-15,sz.301125,31.9000,32.4800,31.7600,32.2600,31.9300,1339770,42995086.0000,7.804100,1,1.033500,43.677867,7.158229,4.906144,-288.714169,0
2022-08-16,sz.301125,32.0800,32.5700,32.0400,32.3400,32.2600,1481794,47877035.5800,8.631400,1,0.248000,43.786182,7.175980,4.918311,-289.430137,0
2022-08-17,sz.301125,32.7000,33.2500,32.2100,32.4400,32.3400,1990421,64925972.0400,11.594100,1,0.309200,43.921575,7.198169,4.933519,-290.325097,0
2022-08-18,sz.301125,32.0800,33.0000,31.9000,32.9800,32.4400,2417102,78854912.6900,14.079500,1,1.664600,44.652699,7.317991,5.015643,-295.157883,0
2022-08-19,sz.301125,32.8000,33.2300,31.7200,31.9100,32.9800,2241418,72698907.1500,13.056100,1,-3.244400,43.203991,7.080567,4.852916,-285.581808,0
2022-08-22,sz.301125,31.5500,31.8000,31.0000,31.2600,31.9100,1464312,45799751.6300,8.529500,1,-2.037000,42.323935,6.936337,4.754063,-279.764567,0
2022-08-23,sz.301125,31.4600,31.9800,31.1400,31.9500,31.2600,1472454,46545980.7500,8.577000,1,2.207300,43.258148,7.089442,4.858999,-285.939792,0
2022-08-24,sz.301125,32.5000,32.5000,31.1000,31.1000,31.9500,1691008,53501041.3300,9.850000,1,-2.660400,42.107306,6.900834,4.729730,-278.332630,0
2022-08-25,sz.301125,31.6300,31.8000,30.4000,30.8000,31.1000,1206237,37230239.6100,7.026300,1,-0.964600,41.701126,6.834267,4.684106,-275.647750,0
2022-08-26,sz.301125,30.9800,30.9800,29.1500,29.2500,30.8000,1974409,59210759.4900,11.500800,1,-5.032500,39.602530,6.490335,4.448380,-261.775866,0
2022-08-29,sz.301125,28.5900,29.2800,28.5800,29.2200,29.2500,874266,25405402.6800,5.092500,1,-0.102600,46.911726,3.146260,4.592217,6.216455,0
