date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2021-07-19,sz.301025,13.9500,31.6600,13.9500,31.6600,1.5500,28750626,673989632.5000,76.535900,1,1942.580600,198.105700,24.421699,28.347931,253.646953,0
2021-07-20,sz.301025,26.1100,28.7900,22.6400,23.5000,31.6600,26092251,662288703.9100,69.459100,1,-25.773800,147.046240,18.127288,21.041579,188.272375,0
2021-07-21,sz.301025,21.6600,25.6600,21.2100,23.1000,23.5000,22352781,522250461.7600,59.504400,1,-1.702100,144.543325,17.818738,20.683424,185.067739,0
2021-07-22,sz.301025,21.2500,21.5000,19.7800,19.9700,23.1000,19506497,398802342.6000,51.927500,1,-13.549800,124.958017,15.404338,17.880865,159.991461,0
2021-07-23,sz.301025,19.5500,21.1300,18.6100,19.0800,19.9700,17637153,346974057.9300,46.951200,1,-4.456700,119.389032,14.717815,17.083971,152.861145,0
2021-07-26,sz.301025,18.3600,20.2700,17.8300,19.5100,19.0800,16932218,320075154.1300,45.074600,1,2.253700,122.079665,15.049506,17.468987,156.306129,0
2021-07-27,sz.301025,18.9000,19.4600,18.1100,18.4700,19.5100,13430293,249734447.0100,35.752200,1,-5.330600,115.572087,14.247277,16.537785,147.974075,0
2021-07-28,sz.301025,18.6300,22.1600,18.6000,22.1600,18.4700,16392756,346450644.8400,43.638500,1,19.978300,138.661475,17.093646,19.841761,177.536844,0
2021-07-29,sz.301025,26.5800,26.5900,26.0000,26.5900,22.1600,7860199,208940143.9300,20.924300,1,19.991000,166.381256,20.510833,23.808322,213.028189,0
2021-07-30,sz.301025,27.0000,31.0000,25.2000,26.5700,26.5900,28415104,770339715.3900,75.642700,1,-0.075200,166.256110,20.495405,23.790415,212.867958,0
2021-08-02,sz.301025,22.8600,24.7700,21.6000,23.0500,26.5700,18929532,434572008.1500,50.391600,1,-13.248000,144.230461,17.780169,20.638655,184.667159,0
2021-08-03,sz.301025,22.3700,27.0000,21.7500,25.8900,23.0500,21682473,516800160.0400,57.720000,1,12.321000,162.001155,19.970871,23.181552,207.420076,0
2021-08-04,sz.301025,24.2000,24.8000,23.0100,23.7800,25.8900,14572424,347318071.4700,38.792700,1,-8.149900,148.798280,18.343272,21.292287,190.515620,0
2021-08-05,sz.301025,23.5000,24.9700,21.8800,21.9000,23.7800,14119803,327003024.0400,37.587800,1,-7.905800,137.034581,16.893089,19.608960,175.453830,0
2021-08-06,sz.301025,21.0200,21.5800,20.4500,21.1800,21.9000,10465372,219012098.1500,27.859400,1,-3.287700,132.529334,16.337700,18.964282,169.685485,0
2021-08-09,sz.301025,21.0300,22.3500,20.5000,21.7000,21.1800,10278346,222344768.0200,27.361600,1,2.455100,135.783123,16.738814,19.429883,173.851512,0
2021-08-10,sz.301025,21.1600,21.7000,20.8000,21.4500,21.7000,9231931,196605249.3900,24.576000,1,-1.152100,134.218802,16.545971,19.206037,171.848615,0
2021-08-11,sz.301025,21.3900,21.4700,20.5400,20.8100,21.4500,7771952,162536439.9900,20.689400,1,-2.983700,130.214138,16.052292,18.632989,166.721197,0
2021-08-12,sz.301025,20.6300,22.4800,20.6300,21.2600,20.8100,11383790,244697199.8400,30.304300,1,2.162400,133.029917,16.399410,19.035913,170.326412,0
2021-08-13,sz.301025,20.9600,22.2800,19.8500,21.3900,21.2600,13353720,277728289.2800,35.548400,1,0.611500,133.843364,16.499689,19.152313,171.367919,0
2021-08-16,sz.301025,20.8000,21.2000,20.4500,20.8300,21.3900,7761645,161537901.9700,20.662000,1,-2.618000,130.339284,16.067719,18.650897,166.881429,0
2021-08-17,sz.301025,20.6100,22.3000,20.6100,21.3300,20.8300,11468572,247788363.1200,30.530000,1,2.400400,133.467927,16.453406,19.098590,170.887224,0
2021-08-18,sz.301025,20.6000,23.2000,20.5500,22.7200,21.3300,14077703,312404400.3300,37.475700,1,6.516600,142.165556,17.525616,20.343177,182.023335,0
2021-08-19,sz.301025,22.2600,24.2400,22.1700,22.2500,22.7200,15380036,357414518.2100,40.942600,1,-2.068700,139.224631,17.163070,19.922346,178.257887,0
2021-08-20,sz.301025,21.0400,21.4800,19.0100,19.0200,22.2500,15564890,306512256.2200,41.434700,1,-14.516900,119.013595,14.671532,17.030248,152.380450,0
2021-08-23,sz.301025,19.0600,19.5500,18.8900,19.2000,19.0200,8855783,170170770.4700,23.574600,1,0.946400,120.139906,14.810380,17.191417,153.822536,0
2021-08-24,sz.301025,19.1000,19.4600,18.8200,19.1500,19.2000,7725131,147718458.4600,20.564800,1,-0.260400,119.827042,14.771811,17.146648,153.421957,0
2021-08-25,sz.301025,19.3700,19.8100,19.0800,19.2300,19.1500,6652886,128689224.9200,17.710400,1,0.417800,122.569052,14.261699,16.462824,674.009881,0
2021-08-26,sz.301025,19.2000,19.2000,18.3000,18.3300,19.2300,7243211,135193519.6800,19.281900,1,-4.680200,116.832591,13.594224,15.692333,642.464957,0
2021-08-27,sz.301025,18.4000,18.5900,17.7800,17.9200,18.3300,5354208,96869435.4300,14.253200,1,-2.236800,114.219314,13.290153,15.341331,628.094491,0
2021-08-30,sz.301025,18.1500,18.2100,17.2300,17.4000,17.9200,6122373,107704937.2000,16.298100,1,-2.901800,110.904914,12.904501,14.896159,609.868535,0
2021-08-31,sz.301025,17.5800,17.8500,17.0100,17.2600,17.4000,5583942,97313297.4600,14.864800,1,-0.804600,110.012576,12.800672,14.776305,604.961547,0
2021-09-01,sz.301025,17.0700,17.3400,16.6200,17.2500,17.2600,5112178,86899735.8700,13.608900,1,-0.057900,109.948837,12.793255,14.767744,604.611048,0
2021-09-02,sz.301025,17.3800,17.4200,16.9200,17.0500,17.2500,4016471,68520876.5100,10.692100,1,-1.159400,108.674068,12.644928,14.596523,597.601064,0
2021-09-03,sz.301025,17.1000,17.6500,17.1000,17.4500,17.0500,5374403,93151813.1600,14.307000,1,2.346000,111.223606,12.941583,14.938964,611.621031,0
2021-09-06,sz.301025,17.3500,17.6500,16.9400,17.5500,17.4500,4827542,83466102.1800,12.851200,1,0.573100,111.860991,13.015747,15.024574,615.126022,0
2021-09-07,sz.301025,17.4500,17.7000,17.2800,17.4800,17.5500,3702516,64617580.7200,9.856300,1,-0.398900,111.414822,12.963832,14.964647,612.672528,0
2021-09-08,sz.301025,17.4900,18.4300,17.2600,17.9800,17.4800,8090116,144780129.0300,21.536400,1,2.860400,114.601745,13.334651,15.392697,630.197486,0
2021-09-09,sz.301025,17.5000,17.6600,17.0300,17.0800,17.9800,6551725,112964805.1000,17.441100,1,-5.005600,108.865284,12.667177,14.622206,598.652562,0
2021-09-10,sz.301025,17.0800,17.2300,16.7100,16.7100,17.0800,4215009,71381763.8300,11.220600,1,-2.166300,106.506961,12.392771,14.305449,585.684093,0
2021-09-13,sz.301025,16.6800,16.7000,16.1100,16.1600,16.7100,4168927,67900579.1900,11.097900,1,-3.291400,103.001346,11.984870,13.834593,566.406639,0
2021-09-14,sz.301025,16.1800,16.3500,15.9700,16.0900,16.1600,3585986,57874564.9900,9.546100,1,-0.433200,102.555176,11.932955,13.774666,563.953145,0
2021-09-15,sz.301025,16.0500,16.6800,15.7900,16.2000,16.0900,4420563,72101688.2500,11.767800,1,0.683700,103.256299,12.014535,13.868838,567.808636,0
2021-09-16,sz.301025,15.9200,16.5000,15.7100,15.7200,16.2000,4935932,79317080.2900,13.139700,1,-2.963000,100.196853,11.658549,13.457909,550.984676,0
2021-09-17,sz.301025,15.6000,15.6800,15.0100,15.1800,15.7200,4708137,71935194.1200,12.533300,1,-3.435100,96.754977,11.258065,12.995614,532.057722,0
2021-09-22,sz.301025,15.2500,16.5000,15.2100,16.0100,15.1800,7161481,113559043.3500,19.064300,1,5.467700,102.045269,11.873624,13.706178,561.149152,0
