date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-08-29,sz.300006,8.8800,9.1100,8.8300,8.9300,8.9100,16050660,143889276.0000,2.853135,1,0.224500,173.249100,4.390200,7.478693,63.976304,0
2016-08-30,sz.300006,8.9900,8.9900,8.8700,8.8800,8.9300,6962570,62033393.0000,1.237653,1,-0.559900,172.279060,4.365619,7.436819,63.618094,0
2016-08-31,sz.300006,8.8000,8.8900,8.7700,8.8200,8.8800,9703999,85645722.0000,1.724965,1,-0.675700,171.115013,4.336121,7.386570,63.188242,0
2016-09-01,sz.300006,8.8300,8.8500,8.6800,8.6800,8.8200,7702939,67455741.0000,1.369260,1,-1.587300,168.398901,4.267294,7.269323,62.185254,0
2016-09-02,sz.300006,8.6600,8.7300,8.5600,8.6300,8.6800,7399077,63924893.0000,1.315246,1,-0.576000,167.428862,4.242713,7.227449,61.827044,0
2016-09-05,sz.300006,8.6600,8.7000,8.6100,8.6300,8.6300,5035918,43562082.0000,0.895175,1,0.000000,167.428862,4.242713,7.227449,61.827044,0
2016-09-06,sz.300006,8.6000,8.8000,8.5400,8.7900,8.6300,10255700,89225890.0000,1.823034,1,1.853996,170.532989,4.321373,7.361446,62.973316,0
2016-09-07,sz.300006,8.7900,8.8700,8.7600,8.8400,8.7900,11647867,102691370.0000,2.070503,1,0.568830,171.503029,4.345954,7.403320,63.331526,0
2016-09-08,sz.300006,8.8400,9.1400,8.8100,9.0800,8.8400,28843380,260709693.0000,5.127145,1,2.714930,176.159219,4.463944,7.604315,65.050934,0
2016-09-09,sz.300006,9.0800,9.1800,8.9900,9.0100,9.0800,14794943,134290021.0000,2.629921,1,-0.770922,174.801164,4.429530,7.545691,64.549440,0
2016-09-12,sz.300006,8.8500,8.8800,8.5900,8.6700,9.0100,14087658,123417895.0000,2.504196,1,-3.773587,168.204893,4.262378,7.260948,62.113612,0
2016-09-13,sz.300006,8.7000,8.8200,8.5900,8.7400,8.6700,8119383,70552715.0000,1.443286,1,0.807378,169.562949,4.296792,7.319572,62.615106,0
2016-09-14,sz.300006,8.7200,8.8200,8.6200,8.6500,8.7400,7432753,64665255.0000,1.321232,1,-1.029750,167.816877,4.252545,7.244199,61.970328,0
2016-09-19,sz.300006,8.6600,8.8600,8.6400,8.8200,8.6500,7658794,67207512.0000,1.361413,1,1.965319,171.115013,4.336121,7.386570,63.188242,0
2016-09-20,sz.300006,8.8600,8.9400,8.7400,8.8900,8.8200,9483351,83971134.0000,1.685743,1,0.793658,172.473068,4.370535,7.445194,63.689736,0
2016-09-21,sz.300006,8.8800,9.0300,8.8100,8.9800,8.8900,11776818,105100688.0000,2.093425,1,1.012364,174.219140,4.414781,7.520567,64.334514,0
2016-09-22,sz.300006,9.0200,9.0400,8.8800,8.9000,8.9800,8818305,78921647.0000,1.567525,1,-0.890868,172.667076,4.375451,7.453569,63.761378,0
