date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-05-16,sz.001380,34.6300,35.6800,30.6700,30.8700,28.8400,18499192,602809786.3500,58.593200,1,7.038800,31.667104,6.736703,4.296474,249.490770,0
2023-05-17,sz.001380,28.2800,28.8500,27.0000,28.0400,30.8700,11214851,315450833.9500,35.521200,1,-9.167500,28.764030,6.119117,3.902595,226.618762,0
2023-05-18,sz.001380,27.8700,27.8700,26.9900,27.0700,28.0400,8462515,230164401.6500,26.803600,1,-3.459300,27.768983,5.907436,3.767591,218.779240,0
2023-05-19,sz.001380,27.0700,27.6400,27.0000,27.5000,27.0700,6426570,176138000.9100,20.355100,1,1.588500,28.210087,6.001274,3.827438,222.254492,0
2023-05-22,sz.001380,27.2100,27.2100,26.5000,26.6400,27.5000,6189188,165391810.5800,19.603200,1,-3.127300,27.327880,5.813598,3.707744,215.303988,0
2023-05-23,sz.001380,26.6700,27.1700,26.2500,27.1000,26.6400,6135318,164426066.5200,19.432600,1,1.726700,27.799758,5.913983,3.771767,219.021699,0
2023-05-24,sz.001380,26.8000,29.5600,26.7900,28.1800,27.1000,10620133,299350216.8300,33.637500,1,3.985200,28.907645,6.149669,3.922081,227.750239,0
2023-05-25,sz.001380,29.3000,29.8900,28.4700,29.4500,28.1800,9966713,291449618.6900,31.567900,1,4.506700,30.210438,6.426819,4.098839,238.014356,0
2023-05-26,sz.001380,28.6500,30.0200,27.4800,29.2200,29.4500,9681122,275673531.0100,30.663400,1,-0.781000,29.974499,6.376626,4.066827,236.155500,0
2023-05-29,sz.001380,30.2700,32.1400,29.0300,32.1400,29.2200,10924481,335910261.3900,34.601500,1,9.993200,32.969897,7.013853,4.473232,259.754886,0
2023-05-30,sz.001380,33.5800,35.3500,32.1700,32.8000,32.1400,19166051,653143683.1600,60.705300,1,2.053500,33.646940,7.157883,4.565090,265.088994,0
