date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2023-05-19,sz.301428,42.0000,50.0000,40.3700,46.4000,26.3500,16638052,724644101.0500,71.117700,1,76.091100,53.756659,7.498571,4.798992,-127.381277,0
2023-05-22,sz.301428,45.3000,48.5000,43.4000,43.9100,46.4000,13805897,622321915.1900,59.011900,1,-5.366400,50.871872,7.096169,4.541460,-120.545515,0
2023-05-23,sz.301428,41.4600,45.6700,40.4000,44.9100,43.9100,13364599,571781378.3700,57.125600,1,2.277400,52.030421,7.257777,4.644886,-123.290801,0
2023-05-24,sz.301428,43.2600,48.9000,43.2200,48.9000,44.9100,13728328,634075909.0400,58.680400,1,8.884400,56.653030,7.902589,5.057558,-134.244492,0
2023-05-25,sz.301428,47.4000,54.4800,44.5000,45.8000,48.9000,14311826,681302804.0600,61.174500,1,-6.339500,53.061529,7.401607,4.736936,-125.734105,0
2023-05-26,sz.301428,43.1500,43.9500,41.1000,41.1500,45.8000,10654073,451618078.3400,45.539800,1,-10.152800,47.674278,6.650134,4.256003,-112.968525,0
2023-05-29,sz.301428,40.5200,41.8600,39.6700,40.6000,41.1500,6760289,273815420.2700,28.896200,1,-1.336600,47.037076,6.561250,4.199118,-111.458617,0
2023-05-30,sz.301428,40.5800,41.2000,39.7900,40.5000,40.6000,5488182,221846172.3900,23.458700,1,-0.246300,46.921221,6.545089,4.188775,-111.184089,0
2023-05-31,sz.301428,40.0000,41.8200,39.1600,41.0800,40.5000,6727661,272001776.0000,28.756700,1,1.432100,47.593180,6.638821,4.248763,-112.776355,0
2023-06-01,sz.301428,40.4000,42.2600,40.1000,41.8800,41.0800,6588369,273399699.1100,28.161300,1,1.947400,48.520019,6.768107,4.331504,-114.972584,0
2023-06-02,sz.301428,41.7000,41.7700,40.4000,40.6000,41.8800,5570270,228079778.4800,23.809600,1,-3.056400,47.037076,6.561250,4.199118,-111.458617,0
2023-06-05,sz.301428,40.5500,43.6000,40.1100,43.2900,40.6000,8691158,369469469.5700,37.149500,1,6.625600,50.153572,6.995973,4.477335,-118.843437,0
2023-06-06,sz.301428,42.3900,42.9400,40.7200,41.7700,43.2900,6121202,255926413.3500,26.164500,1,-3.511200,48.392578,6.750330,4.320127,-114.670602,0
2023-06-07,sz.301428,41.4000,42.4000,40.4400,41.8000,41.7700,4175512,173365736.8500,17.847800,1,0.071800,48.427335,6.755178,4.323230,-114.752961,0
2023-06-08,sz.301428,41.3500,42.1700,40.2200,40.2700,41.8000,4451632,184238800.7400,19.028100,1,-3.660300,46.654755,6.507919,4.164987,-110.552673,0
2023-06-09,sz.301428,40.5200,42.5600,40.0000,42.2900,40.2700,6317953,264147149.7600,27.005500,1,5.016100,48.995024,6.834366,4.373909,-116.098151,0
2023-06-12,sz.301428,42.0000,42.7500,41.4000,42.1300,42.2900,3854380,162142054.5400,16.475200,1,-0.378300,48.809656,6.808509,4.357361,-115.658905,0
2023-06-13,sz.301428,41.6300,43.5900,41.1000,42.3800,42.1300,5302527,225266470.8700,22.665100,1,0.593400,49.099293,6.848911,4.383217,-116.345227,0
2023-06-14,sz.301428,42.0000,42.2900,40.6100,40.9700,42.3800,4638404,190870630.7500,19.826400,1,-3.327000,47.465739,6.621044,4.237386,-112.474373,0
2023-06-15,sz.301428,41.6000,41.9800,40.3200,40.4500,40.9700,3930798,161268943.8000,16.801800,1,-1.269200,46.863294,6.537009,4.183604,-111.046825,0
2023-06-16,sz.301428,40.0100,40.9400,39.3000,40.7500,40.4500,3694598,148523120.5300,15.792200,1,0.741700,47.210859,6.585491,4.214632,-111.870410,0
2023-06-19,sz.301428,40.5000,41.2400,40.0000,41.0000,40.7500,3551289,144512032.8000,15.179600,1,0.613500,47.500496,6.625893,4.240489,-112.556732,0
2023-06-20,sz.301428,40.8700,40.8700,38.0200,38.2100,41.0000,6202181,243391668.2300,26.510600,1,-6.804900,44.268145,6.175009,3.951929,-104.897384,0
2023-06-21,sz.301428,38.0600,38.1600,35.3900,35.3900,38.2100,4496164,164161971.3000,19.218400,1,-7.380300,41.001038,5.719277,3.660266,-97.155677,0
2023-06-26,sz.301428,35.2800,36.1500,35.0000,35.3700,35.3900,2407725,85930865.6200,10.291600,1,-0.056500,40.977867,5.716044,3.658197,-97.100771,0
2023-06-27,sz.301428,35.3000,36.2800,35.1100,36.0600,35.3700,2072203,74233536.7400,8.857400,1,1.950800,41.777265,5.827553,3.729561,-98.995018,0
2023-06-28,sz.301428,35.7900,35.8900,33.7600,34.6000,36.0600,2697654,93520663.8400,11.530900,1,-4.048800,40.085784,5.591607,3.578559,-94.986901,0
2023-06-29,sz.301428,34.4700,35.6800,34.4200,35.1500,34.6000,2148103,75217699.4800,9.181900,1,1.589600,40.722986,5.680491,3.635443,-96.496808,0
2023-06-30,sz.301428,35.0800,35.6800,35.0600,35.6000,35.1500,1519832,53753712.3300,6.496400,1,1.280200,41.244333,5.753214,3.681985,-97.732187,0
2023-07-03,sz.301428,35.5900,36.2200,34.7700,35.8200,35.6000,2026361,71877016.2900,8.661500,1,0.618000,41.499214,5.788768,3.704739,-98.336150,0
2023-07-04,sz.301428,35.8000,36.2500,35.5200,35.8400,35.8200,1906058,68394534.7800,8.147300,1,0.055800,41.522385,5.792000,3.706808,-98.391055,0
2023-07-05,sz.301428,36.3000,37.3700,35.9000,37.3500,35.8400,4715868,173676356.1100,20.157500,1,4.213200,43.271793,6.036027,3.862982,-102.536438,0
2023-07-06,sz.301428,36.8400,36.9200,36.1900,36.7000,37.3500,3264804,119248170.3300,13.955100,1,-1.740300,42.518736,5.930982,3.795754,-100.752002,0
