date,close,bond_value,convert_value,bond_premium,convert_premium
2023-09-12,,80.808860,99.929775,23.748807,0.070274
2023-09-13,,80.903827,97.682584,23.603548,2.372394
2023-09-14,,80.967692,99.695693,23.506052,0.305236
2023-09-15,,81.078094,98.595506,23.337877,1.424501
2023-09-18,,81.174048,96.956929,23.192082,3.138580
2023-09-19,,81.135418,95.060861,23.250736,5.195765
2023-09-20,,81.205062,93.890449,23.145033,6.507105
2023-09-21,,81.259226,94.569288,23.062950,5.742574
2023-09-22,,81.283752,95.505618,23.025816,4.705882
2023-09-25,,81.307688,94.124532,22.989600,6.242228
2023-09-26,,81.219845,92.954120,23.122618,7.579955
2023-09-27,,81.222346,92.017790,23.118828,8.674637
2023-09-28,,81.259673,94.171348,23.062272,6.189411
2023-10-09,,81.388886,97.308052,22.866899,2.766418
2023-10-10,,81.301793,97.308052,22.998517,2.766418
2023-10-11,,81.318008,97.495318,22.973991,2.569028
2023-10-12,,81.236234,95.388577,23.097779,4.834356
2023-10-13,,81.327429,101.123596,22.959745,-1.111111
2023-10-16,,81.275063,99.110487,23.038970,0.897496
2023-10-17,144.488000,81.289949,103.558052,77.743991,39.523675
2023-10-18,135.149000,81.305266,102.621723,66.224166,31.696288
2023-10-19,137.648000,81.311056,104.681648,69.285711,31.492007
2023-10-20,135.833000,81.351550,99.040262,66.970391,37.149273
2023-10-23,137.880000,81.384855,107.326779,69.417270,28.467472
2023-10-24,140.421000,81.363929,104.400749,72.583849,34.501909
2023-10-25,143.784000,81.361210,109.784644,76.723036,30.969136
2023-10-26,149.917000,81.376256,118.398876,84.226956,26.620289
2023-10-27,148.469000,81.273424,118.562734,82.678412,25.224002
2023-10-30,151.108000,81.397119,127.247191,85.642934,18.751541
2023-10-31,147.499000,81.440437,120.271536,81.112732,22.638328
2023-11-01,146.735000,81.464379,124.040262,80.121669,18.296267
2023-11-02,142.674000,81.513748,111.540262,75.030598,27.912556
2023-11-03,145.580000,81.628053,116.573034,78.345550,24.883084
2023-11-06,149.138000,81.571139,118.469101,82.831822,25.887678
2023-11-07,151.022000,81.535258,125.421348,85.222938,20.411718
2023-11-08,149.848000,81.549851,124.531835,83.750183,20.329071
2023-11-09,147.424000,81.739417,115.215356,80.358518,27.955166
2023-11-10,150.727000,81.781357,118.000936,84.304840,27.733732
2023-11-13,155.684000,81.827172,126.544944,90.259538,23.026646
2023-11-14,156.935000,81.949423,128.698502,91.502263,21.940036
2023-11-15,164.665000,82.013460,130.220037,100.778018,26.451354
2023-11-16,162.110000,82.127144,135.346442,97.389063,19.774113
2023-11-17,158.080000,82.281040,131.062734,92.122025,20.613995
2023-11-20,163.022000,82.432311,138.132022,97.764684,18.018977
2023-11-21,160.342000,82.479503,138.436330,94.402239,15.823643
2023-11-22,153.886000,82.522974,126.989700,86.476555,21.179906
2023-11-23,153.967000,82.435380,127.715356,86.772960,20.554806
2023-11-24,149.179000,82.395239,121.722846,81.052936,22.556286
2023-11-27,148.529000,82.349356,122.635768,80.364495,21.113932
2023-11-28,151.872000,82.451967,126.732210,84.194514,19.836938
2023-11-29,154.232000,82.503240,130.477528,86.940537,18.205795
2023-11-30,153.492000,82.560796,128.698502,85.913906,19.264792
2023-12-01,153.816000,82.515638,128.113296,86.408303,20.062480
2023-12-04,152.487000,82.562040,125.421348,84.693837,21.579781
2023-12-05,150.078000,82.553606,119.873596,81.794604,25.196879
2023-12-06,150.091000,82.557401,121.231273,81.801992,23.805513
2023-12-07,148.874000,82.587473,119.335206,80.262204,24.752791
2023-12-08,151.719000,82.598531,119.499064,83.682444,26.962501
2023-12-11,153.892000,82.547123,122.167603,86.429272,25.967929
2023-12-12,155.213000,82.585762,124.953184,87.941597,24.216923
