债券代码,债券简称,申购日期,正股代码,正股简称,正股价,转股价,转股价值,发行规模
113068,金铜转债,2023-07-28,601609,金田股份,13.35,nan,nan,14.5
123211,阳谷转债,2023-07-27,300121,阳谷华泰,9.87,9.2,107.2826,6.5
113067,燃23转债,2023-07-27,601139,深圳燃气,6.35,7.24,87.7072,30.0
123210,信服转债,2023-07-27,300454,深信服,120.0,nan,nan,12.14756
123212,立中转债,2023-07-27,300428,立中集团,19.13,nan,nan,8.998
123209,聚隆转债,2023-07-26,300644,南京聚隆,20.4,17.52,116.4384,2.185
118040,宏微转债,2023-07-25,688711,宏微科技,26.25,nan,nan,4.3
111016,神通转债,2023-07-25,605228,神通科技,10.49,nan,nan,5.77
123208,孩王转债,2023-07-24,301078,孩子王,7.18,nan,nan,10.39
127090,兴瑞转债,2023-07-24,002937,兴瑞科技,32.11,nan,nan,4.62
123207,冠中转债,2023-07-21,300948,冠中生态,20.84,10.44,199.6169,4.0
113674,华设转债,2023-07-21,603018,华设集团,5.28,6.95,75.9712,4.0
118039,煜邦转债,2023-07-20,688597,煜邦电力,6.6,7.3,90.411,4.10806
123206,开能转债,2023-07-20,300272,开能健康,5.93,nan,nan,2.5
113673,岱美转债,2023-07-18,603730,岱美股份,10.87,7.12,152.6685,9.07939
127089,晶澳转债,2023-07-18,002459,晶澳科技,7.18,8.9,80.6742,89.603077
113672,福蓉转债,2023-07-18,603327,福蓉科技,9.54,nan,nan,6.4
110094,众和转债,2023-07-18,600888,新疆众和,10.54,nan,nan,13.75
118038,金宏转债,2023-07-17,688106,金宏气体,28.22,nan,nan,10.16
123205,大叶转债,2023-07-17,300879,大叶股份,16.75,nan,nan,4.760312
123204,金丹转债,2023-07-13,300829,金丹科技,14.86,nan,nan,7.0
113671,武进转债,2023-07-10,603878,武进不锈,5.08,7.88,64.467,3.1
111015,东亚转债,2023-07-06,605177,东亚药业,20.07,20.28,98.9645,6.9
118037,上声转债,2023-07-06,688533,上声电子,20.94,28.64,73.1145,5.2
127088,赫达转债,2023-07-03,002810,山东赫达,21.5,16.61,129.4401,6.0
123202,祥源转债,2023-07-03,300980,祥源新材,23.37,nan,nan,4.6
123203,明电转02,2023-07-03,300739,明阳电路,23.14,nan,nan,4.485
118036,力合转债,2023-06-28,688589,力合微,19.51,18.5,105.4595,3.8
123201,纽泰转债,2023-06-27,301229,纽泰格,12.2,nan,nan,3.5
123200,海泰转债,2023-06-27,301022,海泰科,22.8,nan,nan,3.965716
111014,李子转债,2023-06-20,605337,李子园,9.24,18.21,50.7414,6.0
127087,星帅转2,2023-06-14,002860,星帅尔,14.92,nan,nan,4.629
123199,山河转债,2023-06-12,300452,山河药辅,12.94,13.0,99.5385,3.2
127086,恒邦转债,2023-06-12,002237,恒邦股份,15.36,nan,nan,31.6
118035,国力转债,2023-06-12,688103,国力电子,77.22,62.31,123.9287,4.8
123198,金埔转债,2023-06-08,301098,金埔园林,9.17,nan,nan,5.2
123197,光力转债,2023-05-08,300480,光力科技,32.12,nan,nan,4.0
118034,晶能转债,2023-04-20,688223,晶科能源,4.16,6.35,65.5118,100.0
123196,正元转02,2023-04-18,300645,正元智慧,13.26,21.91,60.5203,3.5073
123195,蓝晓转02,2023-04-17,300487,蓝晓科技,63.5,59.21,107.2454,5.460645
113670,金23转债,2023-04-17,603180,金牌家居,15.35,37.54,40.8897,7.7
123194,百洋转债,2023-04-14,301015,百洋医药,24.6,24.79,99.2336,8.6
123193,海能转债,2023-04-13,300787,海能实业,10.01,14.5,69.0345,6.0
123192,科思转债,2023-04-13,300856,科思股份,10.92,17.32,63.0485,7.249178
127085,韵达转债,2023-04-11,002120,韵达股份,6.69,11.53,58.0225,24.5
123191,智尚转债,2023-04-10,300918,南山智尚,10.74,nan,nan,6.9958
123190,道氏转02,2023-04-07,300409,道氏技术,18.52,nan,nan,26.0
123189,晓鸣转债,2023-04-06,300967,晓鸣股份,17.45,15.18,114.9539,3.29
113669,景23转债,2023-04-04,603228,景旺电子,96.74,nan,nan,11.54
123187,超达转债,2023-04-04,301186,超达装备,34.6,21.77,158.9343,4.69
123188,水羊转债,2023-04-04,300740,水羊股份,21.99,nan,nan,6.94987
123185,能辉转债,2023-03-31,301046,能辉科技,23.39,nan,nan,3.47907
123186,志特转债,2023-03-31,300986,志特新材,11.67,nan,nan,6.14033
113668,鹿山转债,2023-03-27,603051,鹿山新材,20.88,nan,nan,5.24
127084,柳工转2,2023-03-27,000528,柳工,7.95,6.98,113.8968,30.0
127083,山路转债,2023-03-24,000498,山东路桥,4.94,7.42,66.5768,48.36
123183,海顺转债,2023-03-23,300501,海顺新材,10.07,11.63,86.5864,6.33
123184,天阳转债,2023-03-23,300872,天阳科技,16.07,nan,nan,9.75
123182,广联转债,2023-03-22,300900,广联航空,23.27,nan,nan,7.0
118033,华特转债,2023-03-21,688268,华特气体,148.28,nan,nan,6.46
123181,亚康转债,2023-03-21,301085,亚康股份,59.32,nan,nan,2.61
113667,春23转债,2023-03-17,603890,春秋电子,18.16,9.95,182.5126,5.7
113066,平煤转债,2023-03-16,601666,平煤股份,9.91,7.46,132.8418,29.0
110093,神马转债,2023-03-16,600810,神马股份,6.57,8.08,81.3119,30.0
123180,浙矿转债,2023-03-09,300837,浙矿股份,22.92,47.59,48.1614,3.2
127082,亚科转债,2023-03-09,002540,亚太科技,5.12,5.22,98.0843,11.59
111013,新港转债,2023-03-08,605162,新中港,9.79,nan,nan,3.69135
118032,建龙转债,2023-03-08,688357,建龙微纳,26.33,71.41,36.8716,7.0
123179,立高转债,2023-03-07,300973,立高食品,25.05,94.64,26.4687,9.5
123178,花园转债,2023-03-06,300401,花园生物,15.2,13.34,113.943,12.0
127081,中旗转债,2023-03-03,001212,中旗新材,34.22,nan,nan,5.4
123176,精测转2,2023-03-02,300567,精测电子,221.8,64.51,343.8227,12.76
123177,测绘转债,2023-03-02,300826,测绘股份,14.66,nan,nan,4.066821
113666,爱玛转债,2023-02-23,603529,爱玛科技,21.48,37.06,57.9601,20.0
123175,百畅转债,2023-02-22,300614,百川畅银,10.78,20.4,52.8431,4.2
123174,精锻转债,2023-02-15,300258,精锻科技,9.56,nan,nan,9.8
118031,天23转债,2023-02-13,688599,天合光能,12.54,16.0,78.375,88.64751
110092,三房转债,2023-01-06,600370,*ST三房,1.57,3.02,51.9868,25.0
111012,福新转债,2023-01-04,605488,福莱新材,29.5,11.11,265.5266,4.29018
111011,冠盛转债,2023-01-03,605088,冠盛股份,20.36,nan,nan,6.0165
127080,声迅转债,2022-12-30,003004,声迅股份,70.5,28.94,243.6075,2.8
118030,睿创转债,2022-12-30,688002,睿创微纳,161.7,38.66,418.2618,15.6469
123173,恒锋转债,2022-12-30,300605,恒锋信息,10.23,10.0,102.3,2.424357
127079,华亚转债,2022-12-16,003043,华亚智能,80.13,nan,nan,3.4
113665,汇通转债,2022-12-15,603176,汇通集团,5.26,6.28,83.758,3.6
123172,漱玉转债,2022-12-15,301017,漱玉平民,13.39,14.91,89.8055,8.0
118029,富淼转债,2022-12-15,688350,富淼科技,27.73,nan,nan,4.5
127078,优彩转债,2022-12-14,002998,优彩资源,8.04,6.11,131.5876,6.0
110091,合力转债,2022-12-13,600761,安徽合力,16.37,nan,nan,20.47505
118028,会通转债,2022-12-06,688219,会通股份,10.51,nan,nan,8.3
113664,大元转债,2022-12-05,603757,大元泵业,67.8,nan,nan,4.5
127077,华宏转债,2022-12-02,002645,华宏科技,19.51,nan,nan,5.15
113065,齐鲁转债,2022-11-29,601665,齐鲁银行,6.55,nan,nan,80.0
113663,新化转债,2022-11-28,603867,新化股份,30.07,nan,nan,6.5
123171,共同转债,2022-11-28,300966,共同药业,24.85,27.08,91.7651,3.8
118027,宏图转债,2022-11-28,688066,*ST航图,8.09,13.12,61.6616,10.088
113662,豪能转债,2022-11-25,603809,豪能股份,8.98,nan,nan,5.0
123170,南电转债,2022-11-24,300346,南大光电,56.61,nan,nan,9.0
123168,惠云转债,2022-11-23,300891,惠云钛业,7.56,10.74,70.3911,4.9
123169,正海转债,2022-11-23,300224,正海磁材,11.51,nan,nan,14.0
113661,福22转债,2022-11-22,603806,福斯特,15.34,14.59,105.1405,30.3
113660,寿22转债,2022-11-17,603896,寿仙谷,14.71,36.84,39.9294,3.98
123167,商络转债,2022-11-17,300975,商络电子,25.91,nan,nan,3.965
113064,东材转债,2022-11-16,601208,东材科技,49.1,nan,nan,14.0
111010,立昂转债,2022-11-14,605358,立昂微,44.58,nan,nan,33.9
111009,盛泰转债,2022-11-07,605138,盛泰集团,5.88,10.51,55.9467,7.0118
123166,蒙泰转债,2022-11-02,300876,蒙泰高新,15.5,nan,nan,3.0
113063,赛轮转债,2022-11-02,601058,赛轮轮胎,13.99,nan,nan,20.08985
111008,沿浦转债,2022-11-02,605128,上海沿浦,23.49,nan,nan,3.84
123165,回天转债,2022-10-27,300041,回天新材,10.96,15.05,72.8239,8.5
127076,中宠转2,2022-10-25,002891,中宠股份,28.4,nan,nan,7.690459
118026,利元转债,2022-10-24,688499,利元亨,35.34,nan,nan,9.5
118025,奕瑞转债,2022-10-24,688301,奕瑞科技,98.38,nan,nan,14.3501
118024,冠宇转债,2022-10-24,688772,珠海冠宇,15.03,22.51,66.7703,30.89043
123164,法本转债,2022-10-21,300925,法本信息,14.64,nan,nan,6.006616
127075,百川转2,2022-10-19,002455,百川股份,7.78,nan,nan,9.78
123163,金沃转债,2022-10-14,300984,金沃股份,31.57,nan,nan,3.1
113659,莱克转债,2022-10-14,603355,莱克电气,29.01,31.72,91.4565,12.0
123162,东杰转债,2022-10-14,300486,东杰智能,19.3,nan,nan,5.7
127074,麦米转2,2022-10-13,002851,麦格米特,127.66,nan,nan,12.2
118023,广大转债,2022-10-13,688186,广大特材,14.08,nan,nan,15.5
123161,强联转债,2022-10-11,300850,新强联,24.81,nan,nan,12.1
118022,锂科转债,2022-10-11,688779,五矿新能,8.16,15.49,52.6791,32.5
111007,永和转债,2022-10-11,605020,永和股份,33.56,nan,nan,8.0
113657,再22转债,2022-09-29,603601,再升科技,9.04,nan,nan,5.1
123160,泰福转债,2022-09-28,300992,泰福泵业,24.76,19.7,125.6853,3.3489
118021,新致转债,2022-09-27,688590,新致软件,12.8,nan,nan,4.8481
123159,崧盛转债,2022-09-27,301002,崧盛股份,28.33,nan,nan,2.9435
123158,宙邦转债,2022-09-26,300037,新宙邦,65.39,40.49,161.4967,19.7
110090,爱迪转债,2022-09-23,600933,爱柯迪,13.88,17.15,80.9329,15.7
127073,天赐转债,2022-09-23,002709,天赐材料,37.27,nan,nan,34.105
118020,芳源转债,2022-09-23,688148,芳源股份,6.31,9.0,70.1111,6.42
110089,兴发转债,2022-09-22,600141,兴发集团,31.15,nan,nan,28.0
127072,博实转债,2022-09-22,002698,博实股份,12.26,14.81,82.7819,4.5
118019,金盘转债,2022-09-16,688676,金盘科技,66.77,nan,nan,9.76702
113658,密卫转债,2022-09-16,603713,密尔克卫,64.22,nan,nan,8.72388
113062,常银转债,2022-09-15,601128,常熟银行,6.23,5.25,118.6667,60.0
110088,淮22转债,2022-09-14,600985,淮北矿业,18.13,nan,nan,30.0
113656,嘉诚转债,2022-09-01,603535,嘉诚国际,6.26,10.33,60.6002,8.0
123157,科蓝转债,2022-08-30,300663,科蓝软件,8.61,8.8,97.8409,4.946
127071,天箭转债,2022-08-22,003009,中天火箭,47.28,nan,nan,4.95
118018,瑞科转债,2022-08-18,688323,瑞华泰,27.59,nan,nan,4.3
127070,大中转债,2022-08-17,001203,大中矿业,27.58,10.56,261.1742,15.2
123156,博汇转债,2022-08-16,300839,博汇股份,12.67,nan,nan,3.97
127068,顺博转债,2022-08-12,002996,顺博合金,6.24,10.0,62.4,8.3
127069,小熊转债,2022-08-12,002959,小熊电器,32.73,43.71,74.8799,5.36
123155,中陆转债,2022-08-12,301040,中环海陆,27.19,31.76,85.6108,3.6
111006,嵘泰转债,2022-08-11,605133,嵘泰股份,27.5,nan,nan,6.5067
118017,深科转债,2022-08-08,688328,深科达,88.28,nan,nan,3.6
123154,火星转债,2022-08-05,300894,火星人,11.78,16.0,73.625,5.28999
118016,京源转债,2022-08-05,688096,京源环保,8.71,6.91,126.0492,3.325
113655,欧22转债,2022-08-05,603833,欧派家居,32.58,51.29,63.5212,20.0
113654,永02转债,2022-08-04,603901,永创智能,9.53,nan,nan,6.10547
113653,永22转债,2022-07-28,603681,永冠新材,18.52,nan,nan,7.7
113652,伟22转债,2022-07-22,603568,伟明环保,15.04,19.02,79.0747,14.77
118015,芯海转债,2022-07-21,688595,芯海科技,28.67,55.22,51.9196,4.1
123153,英力转债,2022-07-21,300956,英力股份,11.15,nan,nan,3.4
127067,恒逸转2,2022-07-21,000703,恒逸石化,19.2,10.32,186.0465,30.0
123152,润禾转债,2022-07-21,300727,润禾材料,29.38,nan,nan,2.9235
113651,松霖转债,2022-07-20,603992,松霖科技,21.23,nan,nan,6.1
118014,高测转债,2022-07-18,688556,高测股份,8.24,nan,nan,4.833
113061,拓普转债,2022-07-14,601689,拓普集团,47.43,nan,nan,25.0
127066,科利转债,2022-07-08,002850,科达利,181.37,nan,nan,15.343705
118013,道通转债,2022-07-08,688208,道通科技,25.77,21.48,119.9721,12.8
118012,微芯转债,2022-07-05,688321,微芯生物,26.19,25.34,103.3544,5.0
118011,银微转债,2022-07-04,688689,银河微电,40.65,nan,nan,5.0
123151,康医转债,2022-07-01,300869,康泰医学,11.6,27.55,42.1053,7.0
113650,博22转债,2022-07-01,603916,苏博特,11.5,23.27,49.4199,8.0
123150,九强转债,2022-06-30,300406,九强生物,11.77,11.6,101.4655,11.39
118010,洁特转债,2022-06-28,688026,洁特生物,15.65,47.88,32.6859,4.4
113649,丰山转债,2022-06-27,603810,丰山集团,12.48,13.61,91.6973,5.0
118009,华锐转债,2022-06-24,688059,华锐精密,89.26,nan,nan,4.0
110087,天业转债,2022-06-23,600075,新疆天业,4.69,5.6,83.75,30.0
118008,海优转债,2022-06-23,688680,海优新材,33.35,nan,nan,6.94
111005,富春转债,2022-06-23,605189,富春染织,15.02,nan,nan,5.7
127065,瑞鹄转债,2022-06-22,002997,瑞鹄模具,28.7,nan,nan,4.398
123149,通裕转债,2022-06-20,300185,通裕重工,2.72,2.71,100.369,14.8472
113060,浙22转债,2022-06-14,601878,浙商证券,9.38,nan,nan,70.0
123148,上能转债,2022-06-14,300827,上能电气,25.88,nan,nan,4.2
123147,中辰转债,2022-05-31,300933,中辰股份,6.62,nan,nan,5.70537
113059,福莱转债,2022-05-20,601865,福莱特,9.94,41.56,23.9172,40.0
127064,杭氧转债,2022-05-19,002430,杭氧股份,24.65,25.67,96.0265,11.37
123146,中环转2,2022-05-06,300692,中赋科技,9.01,nan,nan,8.64
113648,巨星转债,2022-04-25,603477,巨星农牧,15.14,24.84,60.9501,10.0
127063,贵轮转债,2022-04-22,000589,贵州轮胎,4.33,nan,nan,18.0
110086,精工转债,2022-04-22,600496,精工钢构,3.35,4.57,73.3042,20.0
