date,close,bond_value,convert_value,bond_premium,convert_premium
2021-01-04,119.100000,80.519356,76.235542,47.914746,56.226345
2021-01-05,120.105000,80.532401,75.499474,49.138731,59.080578
2021-01-06,121.379000,80.516148,74.447950,50.751126,63.038742
2021-01-07,118.100000,80.538271,72.660358,46.638360,62.537048
2021-01-08,118.493000,80.561148,74.027340,47.084548,60.066538
2021-01-11,116.900000,80.640690,72.029443,44.964038,62.294745
2021-01-12,112.050000,80.596476,72.344900,39.025929,54.883067
2021-01-13,107.493000,80.544958,74.342797,33.457143,44.591008
2021-01-14,112.431000,80.649919,73.080967,39.406216,53.844433
2021-01-15,108.500000,80.779036,72.870662,34.317028,48.893939
2021-01-18,107.811000,80.858080,73.606730,33.333614,46.468944
2021-01-19,108.935000,80.880530,74.132492,34.686309,46.946362
2021-01-20,108.320000,80.893946,74.868559,33.903716,44.680225
2021-01-21,108.319000,80.932265,75.184017,33.839081,44.071845
2021-01-22,106.800000,80.966703,73.396425,31.906076,45.511175
2021-01-25,105.879000,81.074180,72.344900,30.595216,46.353094
2021-01-26,103.860000,81.098073,71.503680,28.067161,45.251265
2021-01-27,99.600000,81.121302,71.293375,22.779095,39.704425
2021-01-28,102.060000,81.133552,70.662461,25.792595,44.433125
2021-01-29,97.557000,81.112817,67.928496,20.273223,43.617193
2021-02-01,96.615000,81.179931,67.087277,19.013405,44.013895
2021-02-02,97.800000,81.169033,67.613039,20.489300,44.646656
2021-02-03,97.722000,81.247534,67.402734,20.276881,44.982250
2021-02-04,96.000000,81.261270,64.984227,18.137460,47.728155
2021-02-05,93.000000,81.184149,64.773922,14.554382,43.576299
2021-02-08,91.529000,81.233523,63.722397,12.673927,43.637094
2021-02-09,93.499000,81.223058,65.194532,15.113863,43.415402
2021-02-10,93.845000,81.247420,66.035752,15.505206,42.112412
2021-02-18,95.950000,81.433914,68.243954,17.825603,40.598536
2021-02-19,97.450000,81.479358,69.505783,19.600844,40.204160
2021-02-22,99.310000,81.562251,70.031546,21.759758,41.807523
2021-02-23,98.400000,81.607858,69.085174,20.576624,42.432877
2021-02-24,98.284000,81.677706,69.400631,20.331490,41.618309
2021-02-25,96.600000,81.735832,69.295478,18.185620,39.403035
2021-02-26,98.800000,81.750950,69.926393,20.854865,41.291429
2021-03-01,99.970000,81.836638,72.555205,22.158000,37.784739
2021-03-02,101.009000,81.901981,71.188223,23.329129,41.890043
2021-03-03,101.651000,81.916359,71.398528,24.091209,42.371283
2021-03-04,99.712000,82.028842,70.872766,21.557244,40.691561
2021-03-05,102.300000,82.078507,72.555205,24.636770,40.996087
2021-03-08,101.440000,82.062876,71.608833,23.612534,41.658502
2021-03-09,104.831000,82.082533,71.293375,27.714138,47.041712
2021-03-10,118.000000,82.092037,70.136698,43.741104,68.242879
2021-03-11,109.600000,82.119089,70.557308,33.464705,55.334724
2021-03-12,111.750000,82.162075,70.241851,36.011657,59.093189
2021-03-15,112.200000,82.305768,70.662461,36.320944,58.783036
2021-03-16,108.500000,82.324982,70.767613,31.794745,53.318722
2021-03-17,109.500000,82.396949,72.450053,32.893271,51.138607
2021-03-18,105.998000,82.308013,72.555205,28.782116,46.092896
2021-03-19,106.200000,82.318104,72.029443,29.011717,47.439708
2021-03-22,105.800000,82.422276,74.658254,28.363356,41.712394
2021-03-23,105.880000,82.428628,74.237645,28.450519,42.623059
2021-03-24,106.300000,82.453945,73.186120,28.920454,45.246121
2021-03-25,105.366000,82.509064,73.080967,27.702333,44.177073
2021-03-26,104.797000,82.591442,73.186120,26.886027,43.192453
2021-03-29,104.850000,82.654085,71.924290,26.853985,45.778289
2021-03-30,104.344000,82.592825,70.977918,26.335429,47.009102
2021-03-31,103.810000,82.685962,71.819138,25.547309,44.543646
2021-04-01,103.081000,82.612801,74.132492,24.776062,39.049689
2021-04-02,103.503000,82.612484,75.289169,25.287360,37.473957
2021-04-06,103.711000,82.684963,73.396425,25.429094,41.302523
2021-04-07,103.300000,82.689899,73.291272,24.924569,40.944476
2021-04-08,102.920000,82.677696,71.924290,24.483391,43.094912
2021-04-09,102.800000,82.787938,74.132492,24.172678,38.670638
2021-04-12,102.200000,82.869289,74.342797,23.326748,37.471287
2021-04-13,103.900000,82.920704,75.078864,25.300432,38.387815
2021-04-14,105.600000,82.982085,80.021030,27.256383,31.965309
2021-04-15,104.350000,83.068737,77.392219,25.618860,34.832677
2021-04-16,103.500000,83.123745,75.814932,24.513158,36.516644
2021-04-19,103.551000,83.187739,75.499474,24.478681,37.154597
2021-04-20,103.800000,83.228523,74.447950,24.716860,39.426271
2021-04-21,103.790000,83.263198,74.447950,24.652911,39.412839
2021-04-22,103.411000,83.261769,74.553102,24.199860,38.707843
2021-04-23,103.023000,83.243648,72.555205,23.760795,41.992570
2021-04-26,103.000000,83.382381,72.765510,23.527295,41.550578
2021-04-27,102.700000,83.400070,70.347003,23.141383,45.990583
2021-04-28,102.399000,83.474127,70.557308,22.671543,45.128836
2021-04-29,102.586000,83.503115,70.557308,22.852901,45.393869
2021-04-30,102.000000,83.510345,69.505783,22.140557,46.750378
2021-05-06,101.850000,83.686362,68.980021,21.704418,47.651448
2021-05-07,103.800000,83.692735,68.138801,24.025102,52.336111
2021-05-10,115.000000,83.735297,67.507886,37.337543,70.350467
2021-05-11,133.000000,83.793339,67.823344,58.723834,96.097674
2021-05-12,114.660000,83.794043,68.033649,36.835502,68.534250
2021-05-13,114.800000,83.873035,67.928496,36.873550,69.001238
2021-05-14,110.100000,83.881676,68.980021,31.256319,59.611433
2021-05-17,108.250000,83.929056,67.928496,28.977978,59.358746
2021-05-18,112.312000,83.934767,67.613039,33.808675,66.109972
2021-05-19,111.000000,84.029247,68.033649,32.096864,63.154560
2021-05-20,109.620000,84.068741,67.192429,30.393294,63.143380
2021-05-21,109.000000,84.106661,67.928496,29.597345,60.462848
2021-05-24,110.200000,84.188646,68.664564,30.896510,60.490352
2021-05-25,109.386000,84.209154,68.664564,29.897992,59.304879
2021-05-26,109.792000,84.284784,68.769716,30.263133,59.651670
2021-05-27,109.720000,84.340550,68.769716,30.091635,59.546972
2021-05-28,109.001000,84.287908,68.454259,29.319854,59.231876
2021-05-31,108.880000,84.320130,68.664564,29.126936,58.567963
2021-06-01,109.332000,84.333157,69.295478,29.642958,57.776528
2021-06-02,108.800000,84.285673,68.769716,29.084809,58.209174
2021-06-03,108.518000,84.296143,68.664564,28.734242,58.040763
2021-06-04,107.950000,84.256819,68.033649,28.120194,58.671484
2021-06-07,108.000000,84.265936,67.297581,28.165669,60.481250
2021-06-08,108.750000,84.235374,68.874869,29.102532,57.895038
2021-06-09,109.280000,84.267029,68.454259,29.682987,59.639447
2021-06-10,109.390000,84.276119,69.716088,29.799523,56.907828
2021-06-11,109.092000,84.297488,68.769716,29.413109,58.633780
2021-06-15,108.500000,84.374773,68.033649,28.592938,59.479907
2021-06-16,112.000000,84.394131,68.874869,32.710651,62.613740
2021-06-17,109.231000,84.425948,68.349106,29.380839,59.813355
2021-06-18,109.258000,84.446094,69.610936,29.381947,56.955224
2021-06-21,109.550000,84.471424,70.977918,29.688828,54.343778
2021-06-22,109.700000,84.523867,70.347003,29.785827,55.941256
2021-06-23,109.880000,84.545544,70.872766,29.965454,55.038398
2021-06-24,110.809000,84.582993,70.031546,31.006242,58.227266
2021-06-25,110.530000,84.627239,70.136698,30.608066,57.592249
2021-06-28,110.760000,84.693501,71.188223,30.777449,55.587533
2021-06-29,109.000000,84.688949,69.400631,28.706284,57.059091
2021-06-30,108.888000,84.742623,70.241851,28.492600,55.018695
2021-07-01,112.500000,84.844758,69.190326,32.595109,62.594985
2021-07-02,109.760000,84.079817,68.109820,30.542624,61.151504
2021-07-05,111.001000,84.140401,70.749736,31.923545,56.892458
2021-07-06,111.144000,84.177746,70.221753,32.034897,58.275741
2021-07-07,111.280000,84.201758,70.538543,32.158760,57.757725
2021-07-08,111.266000,84.383048,69.904963,31.858237,59.167526
2021-07-09,111.113000,84.400793,70.010560,31.649236,58.708916
2021-07-12,111.201000,84.504677,71.172122,31.591533,56.242355
2021-07-13,112.600000,84.599680,70.960929,33.097430,58.678869
2021-07-14,123.000000,84.665431,70.327350,45.277711,74.896396
2021-07-15,114.470000,84.684563,68.637804,35.172215,66.773985
2021-07-16,112.967000,84.703502,68.004224,33.367567,66.117623
2021-07-19,112.537000,84.739151,67.581837,32.804021,66.519592
