date,close,bond_value,convert_value,bond_premium,convert_premium
2021-01-04,106.240000,95.023569,82.848837,11.803841,28.233544
2021-01-05,106.300000,95.060155,82.558140,11.823929,28.757746
2021-01-06,106.290000,95.094534,83.817829,11.772986,26.810728
2021-01-07,103.460000,95.099663,80.426357,8.791132,28.639422
2021-01-08,102.010000,95.086278,79.360465,7.281515,28.540073
2021-01-11,100.470000,95.035772,77.713178,5.718087,29.283092
2021-01-12,108.000000,95.049019,85.465116,13.625581,26.367347
2021-01-13,106.000000,95.076555,86.046512,11.489104,23.189189
2021-01-14,106.010000,95.151248,87.015504,11.412097,21.828864
2021-01-15,105.900000,95.226704,86.046512,11.208301,23.072973
2021-01-18,107.000000,95.310426,87.500000,12.264738,22.285714
2021-01-19,109.660000,95.324055,90.503876,15.039168,21.166081
2021-01-20,106.880000,95.381242,87.306202,12.055576,22.419711
2021-01-21,107.010000,95.509918,86.531008,12.040721,23.666652
2021-01-22,108.780000,95.513162,90.019380,13.890063,20.840646
2021-01-25,106.880000,95.597056,89.050388,11.802606,20.021937
2021-01-26,104.530000,95.611158,86.143411,9.328244,21.344162
2021-01-27,104.000000,95.578317,86.240310,8.811290,20.593258
2021-01-28,104.240000,95.576525,85.658915,9.064439,21.691946
2021-01-29,102.160000,95.502228,83.430233,6.971326,22.449617
2021-02-01,104.600000,95.546903,88.662791,9.475030,17.975082
2021-02-02,104.700000,95.506967,88.468992,9.625511,18.346550
2021-02-03,104.490000,95.567717,88.759690,9.336084,17.722358
2021-02-04,103.200000,95.528497,87.790698,8.030591,17.552318
2021-02-05,105.090000,95.523764,96.608527,10.014509,8.779218
2021-02-08,107.330000,95.592550,96.899225,12.278624,10.764560
2021-02-09,108.870000,95.543240,98.352713,13.948407,10.693438
2021-02-10,111.150000,95.570750,99.031008,16.301274,12.237573
2021-02-18,115.620000,95.679013,101.937984,20.841547,13.421901
2021-02-19,116.180000,95.769085,101.065891,21.312634,14.954708
2021-02-22,114.350000,95.888892,102.228682,19.252603,11.857062
2021-02-23,113.190000,95.864423,99.127907,18.073000,14.185806
2021-02-24,113.670000,95.957939,97.965116,18.458150,16.031098
2021-02-25,111.260000,96.018647,98.546512,15.873326,12.901003
2021-02-26,112.470000,96.037924,99.031008,17.109987,13.570489
2021-03-01,115.470000,96.109810,106.395349,20.143823,8.529180
2021-03-02,114.110000,96.181579,105.426357,18.640182,8.236691
2021-03-03,115.000000,96.102184,105.232558,19.664295,9.281768
2021-03-04,115.840000,96.225070,107.945736,20.384428,7.313178
2021-03-05,116.600000,96.360828,104.360465,21.003526,11.728134
2021-03-08,116.810000,96.271814,100.290698,21.333540,16.471420
2021-03-09,113.530000,96.290374,98.158915,17.903790,15.659388
2021-03-10,113.360000,96.294678,99.031008,17.721979,14.469198
2021-03-11,118.000000,96.257633,106.104651,22.587681,11.210959
2021-03-12,117.600000,96.205919,102.713178,22.237801,14.493585
2021-03-15,117.390000,96.307507,108.236434,21.890809,8.457010
2021-03-16,117.600000,96.276393,108.430233,22.148324,8.456836
2021-03-17,119.940000,96.345231,110.852713,24.489815,8.197622
2021-03-18,122.080000,96.381820,119.961240,26.662891,1.766204
2021-03-19,121.120000,96.267115,115.891473,25.816589,4.511572
2021-03-22,122.810000,96.341180,116.666667,27.474045,5.265714
2021-03-23,120.640000,96.380079,112.112403,25.171095,7.606292
2021-03-24,119.240000,96.422298,108.817829,23.664341,9.577631
2021-03-25,117.470000,96.466312,104.941860,21.773080,11.938172
2021-03-26,118.610000,96.526780,107.655039,22.877817,10.175986
2021-03-29,120.930000,96.530555,110.077519,25.276396,9.858944
2021-03-30,120.550000,96.456951,109.496124,24.978033,10.095221
2021-03-31,120.120000,96.599358,108.430233,24.348653,10.780912
2021-04-01,123.880000,96.504997,119.282946,28.366410,3.853907
2021-04-02,123.860000,96.525791,119.670543,28.318036,3.500826
2021-04-06,123.240000,96.528418,116.375969,27.672247,5.898152
2021-04-07,123.220000,96.468585,115.310078,27.730701,6.859697
2021-04-08,124.140000,96.421522,114.147287,28.747190,8.754228
2021-04-09,124.560000,96.528728,116.085271,29.039306,7.300434
2021-04-12,123.650000,96.617622,115.794574,27.978724,6.783933
2021-04-13,124.760000,96.699873,120.155039,29.017750,3.832516
2021-04-14,127.000000,96.763175,125.193798,31.248277,1.442724
2021-04-15,128.040000,96.844207,128.294574,32.212348,-0.198429
2021-04-16,128.500000,96.888278,129.941860,32.626984,-1.109620
2021-04-19,126.000000,96.961467,125.968992,29.948529,0.024615
2021-04-20,125.930000,96.986542,125.968992,29.842757,-0.030954
2021-04-21,123.630000,97.049080,124.031008,27.389152,-0.323313
2021-04-22,128.720000,97.056792,128.875969,32.623382,-0.121023
2021-04-23,130.290000,97.089331,131.007752,34.196001,-0.547870
2021-04-26,127.000000,97.146530,127.616279,30.730352,-0.482916
2021-04-27,126.240000,97.134834,127.131783,29.963674,-0.701463
2021-04-28,130.890000,97.182956,131.976744,34.684111,-0.823436
2021-04-29,129.500000,97.196445,129.941860,33.235325,-0.340045
2021-04-30,128.370000,97.227331,128.100775,32.030776,0.210166
2021-05-06,127.860000,97.347951,127.713178,31.343288,0.114962
2021-05-07,126.600000,97.370378,125.775194,30.019008,0.655778
2021-05-10,128.510000,97.404267,129.554264,31.934672,-0.806043
2021-05-11,126.000000,97.486268,121.317829,29.248973,3.859425
2021-05-12,126.860000,97.472263,123.740310,30.149845,2.521159
2021-05-13,125.060000,97.515396,119.864341,28.246416,4.334616
2021-05-14,132.530000,97.510923,131.879845,35.912979,0.492990
2021-05-17,134.580000,97.524041,138.565891,37.996743,-2.876531
2021-05-18,132.860000,97.536504,131.976744,36.215668,0.669251
2021-05-19,131.020000,97.592992,129.457364,34.251443,1.207066
2021-05-20,130.650000,97.625285,129.457364,33.828034,0.921257
2021-05-21,132.340000,97.653506,131.782946,35.519968,0.422706
2021-05-24,136.930000,97.729246,137.984496,40.111590,-0.764213
2021-05-25,141.010000,97.740612,142.635659,44.269611,-1.139728
2021-05-26,141.120000,97.802689,142.732558,44.290511,-1.129776
2021-05-27,146.400000,97.841993,148.837209,49.629004,-1.637500
2021-05-28,149.590000,97.773517,150.678295,52.996440,-0.722264
2021-05-31,164.700000,97.758219,165.794574,68.476882,-0.660199
2021-06-01,172.120000,97.745878,173.352713,76.089266,-0.711101
2021-06-02,163.140000,97.699823,162.209302,66.980855,0.573763
2021-06-03,156.600000,97.693405,157.170543,60.297412,-0.363009
2021-06-04,161.840000,97.642801,163.468992,65.746987,-0.996515
2021-06-07,160.250000,97.581111,160.852713,64.222357,-0.374699
2021-06-08,163.270000,97.534179,164.437984,67.397728,-0.710289
2021-06-09,164.680000,97.548649,167.151163,68.818330,-1.478400
2021-06-10,162.960000,97.558836,163.662791,67.037663,-0.429414
