date,close,bond_value,convert_value,bond_premium,convert_premium
2023-07-28,,0.000000,98.640777,,1.377953
2023-07-31,,0.000000,98.834951,,1.178782
2023-08-02,,81.405981,97.378641,22.841097,2.691924
2023-08-03,,81.385779,97.475728,22.871590,2.589641
2023-08-04,,81.414584,97.572816,22.828116,2.487562
2023-08-07,,81.509517,96.213592,22.685060,3.935419
2023-08-08,,81.542932,96.407767,22.634786,3.726083
2023-08-09,,81.697721,96.213592,22.402436,3.935419
2023-08-10,,81.712982,97.184466,22.379574,2.897103
2023-08-11,,81.764563,96.893204,22.302372,3.206413
2023-08-14,,81.805432,99.223301,22.241271,0.782779
2023-08-15,,81.867867,97.281553,22.148046,2.794411
2023-08-16,118.821000,82.002899,99.029126,44.898536,19.985912
2023-08-17,119.183000,82.044105,100.485437,45.266989,18.607237
2023-08-18,122.301000,82.123512,102.233010,48.923246,19.629658
2023-08-21,124.531000,82.199470,104.077670,51.498543,19.651987
2023-08-22,122.745000,82.363405,102.524272,49.028564,19.722869
2023-08-23,122.344000,82.389920,103.786408,48.493893,17.880561
2023-08-24,122.010000,82.388967,102.718447,48.090217,18.781002
2023-08-25,121.643000,82.404041,103.883495,47.617761,17.095598
2023-08-28,123.299000,82.358730,105.436893,49.709690,16.941041
2023-08-29,124.000000,82.291166,105.436893,50.684462,17.605893
2023-08-30,123.820000,81.285254,101.844660,52.327753,21.577312
2023-08-31,123.003000,82.310502,99.320388,49.437796,23.844663
2023-09-01,122.830000,82.361597,97.766990,49.135040,25.635452
2023-09-04,123.301000,82.321860,98.640777,49.779172,25.000030
2023-09-05,123.100000,82.229209,97.961165,49.703495,25.662042
2023-09-06,121.390000,82.210916,96.116505,47.656791,26.294646
2023-09-07,118.600000,82.086214,95.728155,44.482238,23.892495
2023-09-08,117.710000,82.129623,95.242718,43.322222,23.589501
2023-09-11,118.930000,82.084339,96.504854,44.887565,23.237324
2023-09-12,119.130000,82.141422,96.601942,45.030359,23.320503
