date,close,bond_value,convert_value,bond_premium,convert_premium
2023-07-17,,72.098577,90.104948,38.698994,10.981697
2023-07-18,,72.105507,89.005497,38.685663,12.352611
2023-07-19,,72.169890,88.855572,38.561941,12.542182
2023-07-20,,72.082869,89.905047,38.729216,11.228460
2023-07-21,,72.131035,86.106947,38.636580,16.134649
2023-07-24,,72.172148,86.456772,38.557605,15.664740
2023-07-25,,72.054021,90.504748,38.784759,10.491441
2023-07-26,,71.999353,88.755622,38.890138,12.668919
2023-07-27,,72.097239,87.956022,38.701566,13.693182
2023-07-28,,72.044394,89.705147,38.803306,11.476323
2023-07-31,,72.008867,88.855572,38.871786,12.542182
2023-08-02,,72.152737,87.406297,38.594880,14.408233
2023-08-03,,72.136712,86.556722,38.625669,15.531178
2023-08-04,,72.161178,86.956522,38.578670,15.000000
2023-08-07,,72.257855,87.006497,38.393259,14.933946
2023-08-08,157.300000,72.291128,86.756622,117.592400,81.311809
2023-08-09,188.760000,72.437049,88.555722,160.584884,113.153928
2023-08-10,186.200000,72.492131,87.206397,156.855466,113.516447
2023-08-11,216.059000,72.501478,87.356322,198.006338,147.330697
2023-08-14,244.000000,72.596387,86.156922,236.104881,183.204176
2023-08-15,196.700000,72.615058,84.857571,170.880457,131.800177
2023-08-16,192.000000,72.764035,83.108446,163.866619,131.023452
2023-08-17,187.000000,72.783980,87.756122,156.924669,113.090547
2023-08-18,181.794000,72.854499,87.056472,149.530233,108.823073
2023-08-21,184.480000,72.927367,85.307346,152.964022,116.253357
2023-08-22,176.000000,73.079347,83.708146,140.834116,110.254328
2023-08-23,171.500000,73.104493,82.558721,134.595703,107.730932
2023-08-24,173.990000,73.104666,80.759620,138.001225,115.441825
2023-08-25,159.302000,73.121814,79.060470,117.858381,101.493870
2023-08-28,163.353000,73.099229,78.860570,123.467474,107.141542
2023-08-29,169.182000,73.044548,84.957521,131.614824,99.137166
2023-08-30,165.800000,73.020826,87.056472,127.058510,90.451091
2023-08-31,167.412000,73.065010,86.656672,129.127458,93.189972
2023-09-01,168.200000,73.119225,88.005997,130.035261,91.123339
2023-09-04,170.800000,73.101193,88.505747,133.648718,92.981818
2023-09-05,166.396000,73.021026,88.305847,127.874093,88.431463
2023-09-06,166.979000,73.014222,88.805597,128.693802,88.027563
2023-09-07,154.003000,72.915716,86.756622,111.206868,77.511522
2023-09-08,157.000000,72.968033,87.656172,115.162714,79.108894
2023-09-11,160.600000,72.943007,86.206897,120.171894,86.296000
2023-09-12,157.929000,72.995155,84.757621,116.355454,86.330147
2023-09-13,158.000000,73.091419,83.158421,116.167646,89.998798
2023-09-14,160.000000,73.148792,81.609195,118.732252,96.056338
2023-09-15,160.960000,73.246449,81.459270,119.751268,97.595681
2023-09-18,159.800000,73.329296,83.508246,117.921089,91.358348
2023-09-19,158.100000,73.303618,81.209395,115.678305,94.681908
2023-09-20,157.800000,73.373308,80.509745,115.064584,96.001117
2023-09-21,160.400000,73.425453,80.309845,118.452857,99.726447
2023-09-22,164.001000,73.446864,82.908546,123.292039,97.809524
2023-09-25,165.000000,73.483656,82.408796,124.539727,100.221346
2023-09-26,164.000000,73.428255,82.908546,123.347267,97.808318
2023-09-27,162.990000,73.458958,83.758121,121.878998,94.596056
2023-09-28,162.000000,73.490288,83.358321,120.437290,94.341727
2023-10-09,164.888000,73.592196,83.058471,124.056366,98.520390
2023-10-10,164.023000,73.610996,82.358821,122.824048,99.156567
2023-10-11,168.000000,73.549641,82.458771,128.417158,103.738182
2023-10-12,164.600000,73.581695,83.008496,123.696941,98.292956
2023-10-13,165.500000,73.646998,81.259370,124.720634,103.668819
2023-10-16,166.467000,73.612039,80.359820,126.141000,107.152032
2023-10-17,166.590000,73.640589,80.159920,126.220354,107.822064
2023-10-18,166.000000,73.651115,78.510745,125.386947,111.436028
2023-10-19,156.000000,73.660695,78.210895,111.781873,99.460703
2023-10-20,157.004000,73.702757,77.511244,113.023240,102.556418
2023-10-23,156.810000,73.756637,75.712144,112.604596,107.113406
2023-10-24,157.800000,73.740419,79.060470,113.993902,99.594058
2023-10-25,163.100000,73.738827,79.460270,121.186053,105.259811
2023-10-26,172.599000,73.683533,79.460270,134.243654,117.214213
2023-10-27,162.800000,73.653694,87.706147,121.034400,85.619829
2023-10-30,172.300000,73.753257,85.457271,133.616803,101.621228
2023-10-31,143.300000,73.794556,87.906047,94.187765,63.014952
2023-11-01,146.600000,73.832693,87.256372,98.557028,68.010653
2023-11-02,149.260000,73.887007,84.907546,102.011159,75.791207
2023-11-03,149.500000,73.992539,86.456772,102.047397,72.918786
2023-11-06,155.400000,73.952984,87.756122,110.133509,77.081663
2023-11-07,165.000000,73.934555,88.305847,123.170342,86.850594
2023-11-08,168.000000,74.001827,91.554223,127.021421,83.497817
2023-11-09,169.021000,74.111854,89.505247,128.062032,88.839208
2023-11-10,168.400000,74.153693,89.855072,127.095904,87.412903
2023-11-13,167.500000,74.212636,91.104448,125.702805,83.854909
2023-11-14,168.050000,74.309760,90.004998,126.147951,86.711855
2023-11-15,180.687000,74.356342,91.004498,143.001464,98.547329
2023-11-16,179.600000,74.475931,88.405797,141.151736,103.154098
2023-11-17,174.999000,74.600167,88.955522,134.582585,96.726404
2023-11-20,190.000000,74.763990,91.004498,154.133041,108.780890
2023-11-21,181.000000,74.814807,90.604698,141.930719,99.768891
2023-11-22,188.000000,74.848865,88.955522,151.172814,111.341573
2023-11-23,186.999000,74.746935,90.554723,150.176143,106.503863
2023-11-24,198.000000,74.711599,88.605697,165.019089,123.461929
2023-11-27,212.400000,74.720248,88.455772,184.260298,140.120000
2023-11-28,205.000000,74.751234,90.104948,174.242966,127.512479
2023-11-29,174.000000,74.809837,89.805097,132.589734,93.752922
2023-11-30,168.996000,74.922589,89.505247,125.560811,88.811276
2023-12-01,169.900000,74.904562,88.205897,126.821967,92.617507
2023-12-04,172.799000,74.972648,88.455772,130.482724,95.350734
2023-12-05,164.075000,74.969198,85.957021,118.856551,90.880276
2023-12-06,170.000000,74.986278,86.906547,126.708145,95.612421
2023-12-07,176.059000,75.004044,86.256872,134.732677,104.110115
2023-12-08,182.700000,75.022888,84.257871,143.525682,116.834342
2023-12-11,192.210000,75.007047,84.907546,156.255924,126.375639
2023-12-12,194.000000,75.018287,84.707646,158.603613,129.023009
2023-12-13,190.230000,75.161550,84.807596,153.094834,124.307737
2023-12-14,205.080000,75.251749,84.557721,172.525227,142.532553
2023-12-15,214.500000,75.339356,84.357821,184.711750,154.273993
2023-12-18,213.500000,75.421269,83.208396,183.076648,156.584685
2023-12-19,222.010000,75.460728,84.307846,194.206013,163.332549
2023-12-20,227.000000,75.384136,85.407296,201.124364,165.785255
2023-12-21,181.600000,75.353318,86.456772,140.998015,110.047168
2023-12-22,145.280000,75.470408,83.458271,92.499289,74.075018
2023-12-25,130.498000,75.611014,82.408796,72.591257,58.354456
2023-12-26,125.945000,75.749009,80.559720,66.266201,56.337435
2023-12-27,124.350000,75.904963,81.209395,63.823280,53.122677
2023-12-28,124.600000,75.992529,84.007996,63.963486,48.319215
