date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-08-29,sz.002497,44.7522184200,46.5788395800,44.6869819500,45.9917113500,44.4260360700,24885906,175373703.0000,3.202036,1,3.524200,53.914524,3.010925,4.795899,-421.580780,0
2016-08-30,sz.002497,45.7307654700,46.3178937000,45.4698195900,45.5350560600,45.9917113500,12174538,85432211.0000,1.566481,1,-0.992900,53.379203,2.981029,4.748280,-417.394872,0
2016-08-31,sz.002497,45.4045831200,45.8612384100,45.3393466500,45.6002925300,45.5350560600,7658964,53487456.0000,0.985469,1,0.143300,53.455677,2.985300,4.755083,-417.992859,0
2016-09-01,sz.002497,45.6655290000,45.9917113500,45.3393466500,45.4045831200,45.6002925300,8226265,57583078.0000,1.058462,1,-0.429200,53.226254,2.972488,4.734675,-416.198898,0
2016-09-02,sz.002497,45.2741101800,45.8612384100,45.0131643000,45.7960019400,45.4045831200,9802442,68340432.0000,1.261267,1,0.862100,53.685101,2.998113,4.775491,-419.786820,0
2016-09-05,sz.002497,45.8612384100,46.1221842900,45.6002925300,45.7307654700,45.7960019400,8135836,57171708.0000,1.046827,1,-0.142447,53.608626,2.993842,4.768688,-419.188833,0
2016-09-06,sz.002497,45.7960019400,46.1874207600,45.1436372400,46.1221842900,45.7307654700,12603226,88357487.0000,1.621640,1,0.855919,54.067473,3.019467,4.809505,-422.776754,0
2016-09-07,sz.002497,46.1874207600,46.4483666400,45.7960019400,45.8612384100,46.1221842900,12593071,89104122.0000,1.620333,1,-0.565770,53.761575,3.002383,4.782294,-420.384807,0
2016-09-08,sz.002497,45.8612384100,46.2526572300,45.7960019400,46.1221842900,45.8612384100,8413486,59273592.0000,1.082552,1,0.568990,54.067473,3.019467,4.809505,-422.776754,0
2016-09-09,sz.002497,46.0569478200,46.1221842900,45.4045831200,45.4045831200,46.1221842900,10266800,72016812.0000,1.321015,1,-1.555872,53.226254,2.972488,4.734675,-416.198898,0
2016-09-12,sz.002497,44.6869819500,44.7522184200,43.8389078400,44.0998537200,45.4045831200,12232391,83082217.0000,1.573925,1,-2.873560,51.696764,2.887071,4.598621,-404.239160,0
2016-09-13,sz.002497,44.2955631300,44.7522184200,44.0998537200,44.5565090100,44.0998537200,6349860,43247779.0000,0.817028,1,1.035498,52.232085,2.916967,4.646240,-408.425068,0
