date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-08-29,sz.002483,22.8962524000,23.5531121000,22.7648804600,23.4592750000,22.7836478800,8953633,111464442.0000,2.492389,1,2.965400,-12.483359,2.183786,2.156418,53.990984,0
2016-08-30,sz.002483,23.4592750000,23.9284605000,23.2340659600,23.9284605000,23.4592750000,11645746,147002901.0000,3.241782,1,2.000000,-12.733026,2.227462,2.199546,55.070803,0
2016-08-31,sz.002483,23.8909256600,23.9472279200,23.4968098400,23.8158559800,23.9284605000,6437369,81299023.0000,1.791946,1,-0.470600,-12.673106,2.216980,2.189195,54.811647,0
2016-09-01,sz.002483,23.6844840400,24.2475066400,23.6844840400,23.7032514600,23.8158559800,10316079,132059168.0000,2.871648,1,-0.472800,-12.613186,2.206498,2.178845,54.552490,0
2016-09-02,sz.002483,23.5531121000,23.6657166200,23.3466704800,23.5155772600,23.7032514600,4939363,61799906.0000,1.374952,1,-0.791800,-12.513319,2.189027,2.161593,54.120562,0
2016-09-05,sz.002483,23.4968098400,23.8909256600,23.3091356400,23.3654379000,23.5155772600,4925204,61850605.0000,1.371010,1,-0.638467,-12.433425,2.175051,2.147792,53.775020,0
2016-09-06,sz.002483,23.2903682200,24.3413437400,22.9337872400,24.2475066400,23.3654379000,11029787,139242273.0000,3.070320,1,3.775103,-12.902800,2.257162,2.228874,55.805081,0
2016-09-07,sz.002483,24.1912043800,24.7542269800,23.9284605000,23.9659953400,24.2475066400,12225583,158956297.0000,3.403189,1,-1.160988,-12.752999,2.230956,2.202996,55.157189,0
2016-09-08,sz.002483,23.8346234000,24.9043663400,23.8346234000,24.8668315000,23.9659953400,14826515,194457240.0000,4.127201,1,3.758806,-13.232360,2.314813,2.285803,57.230443,0
2016-09-09,sz.002483,25.0169708600,26.1993183200,24.4914831000,25.6925979800,24.8668315000,24245632,329579728.0000,6.749165,1,3.320752,-13.671774,2.391683,2.361709,59.130925,0
2016-09-12,sz.002483,25.1483428000,26.3869925200,24.9794360200,25.3360170000,25.6925979800,18317774,251219434.0000,5.099049,1,-1.387871,-13.482027,2.358489,2.328931,58.310262,0
2016-09-13,sz.002483,25.3360170000,25.6738305600,24.6979247200,25.1858776400,25.3360170000,11365490,151574113.0000,3.163768,1,-0.592592,-13.402134,2.344513,2.315130,57.964720,0
2016-09-14,sz.002483,24.9794360200,25.1483428000,24.6791573000,24.8480640800,25.1858776400,6216607,82487792.0000,1.730493,1,-1.341284,-13.222374,2.313066,2.284078,57.187250,0
2016-09-19,sz.002483,25.1295753800,25.2234124800,24.5853202000,25.2046450600,24.8480640800,7592502,100883460.0000,2.113496,1,1.435049,-13.412121,2.346260,2.316855,58.007913,0
2016-09-20,sz.002483,25.1295753800,25.1295753800,24.7166921400,24.7917618200,25.2046450600,5678035,75194612.0000,1.580573,1,-1.638126,-13.192414,2.307825,2.278902,57.057671,0
2016-09-21,sz.002483,24.7917618200,24.9606686000,24.4539482600,24.7542269800,24.7917618200,5055421,66479231.0000,1.407258,1,-0.151404,-13.172440,2.304331,2.275452,56.971286,0
2016-09-22,sz.002483,24.9419011800,25.0732731200,24.3976460000,25.0732731200,24.7542269800,9083351,119873778.0000,2.528498,1,1.288856,-13.342214,2.334031,2.304779,57.705563,0
2016-09-23,sz.002483,24.9982034400,25.6362957200,24.8668315000,25.4861563600,25.0732731200,10317606,139572238.0000,2.872073,1,1.646709,-13.561921,2.372465,2.342732,58.655805,0
2016-09-26,sz.002483,25.3360170000,25.6925979800,24.0222976000,24.1349021200,25.4861563600,9574309,126324402.0000,2.665164,1,-5.301917,-12.842879,2.246679,2.218523,55.545924,0
