date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-08-29,sh.600579,20.7594335500,20.9174638400,20.6301360400,20.8168991100,20.7307007700,3433724,49702098.0000,1.343397,1,0.415800,194.329258,7.470239,8.025730,-1538.790581,0
2016-08-30,sh.600579,20.7163343800,20.9749294000,20.4721057500,20.5439377000,20.8168991100,3369242,48516899.0000,1.318170,1,-1.311200,191.781118,7.372285,7.920493,-1518.613202,0
2016-08-31,sh.600579,20.5870368700,21.4202874900,20.4721057500,20.9749294000,20.5439377000,6212395,90987988.0000,2.430514,1,2.097900,195.804498,7.526949,8.086657,-1550.472221,0
2016-09-01,sh.600579,21.2335244200,21.3771883200,20.5439377000,20.8887310600,20.9749294000,4921371,71917459.0000,1.925419,1,-0.411000,194.999822,7.496016,8.053424,-1544.100417,0
2016-09-02,sh.600579,20.8312655000,21.0180285700,20.5583040900,20.6445024300,20.8887310600,3142356,45412163.0000,1.229404,1,-1.169200,192.719906,7.408373,7.959264,-1526.046973,0
2016-09-05,sh.600579,20.6157696500,20.7737999400,20.5295713100,20.5439377000,20.6445024300,2066702,29693061.0000,0.808569,1,-0.487124,191.781118,7.372285,7.920493,-1518.613202,0
2016-09-06,sh.600579,20.5583040900,20.9318302300,20.1560451700,20.9030974500,20.5439377000,2871876,41295928.0000,1.123582,1,1.748252,195.133934,7.501171,8.058963,-1545.162384,0
2016-09-07,sh.600579,20.8025327200,21.1042269100,20.6301360400,20.7450671600,20.9030974500,3209891,46791419.0000,1.255826,1,-0.756018,193.658695,7.444461,7.998036,-1533.480744,0
2016-09-08,sh.600579,20.7450671600,20.8168991100,20.5439377000,20.6876016000,20.7450671600,2103728,30230463.0000,0.823055,1,-0.277008,213.822809,8.219593,8.830807,-1693.149692,0
2016-09-09,sh.600579,20.6876016000,21.3197227600,20.4290065800,21.0898605200,20.6876016000,5370030,78350091.0000,2.100951,1,1.944449,217.980474,8.379418,9.002517,-1726.072048,0
2016-09-12,sh.600579,20.6876016000,22.2104389400,20.5008385300,21.4202874900,21.0898605200,8537691,127769145.0000,3.340255,1,1.566754,221.395700,8.510704,9.143564,-1753.115411,0
2016-09-13,sh.600579,21.4777530500,22.2535381100,21.1185933000,22.1098742100,21.4202874900,8513068,129465706.0000,3.330621,1,3.219319,228.523127,8.784690,9.437925,-1809.553734,0
