date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018-12-05,sz.002942,17.2000000000,20.6400000000,17.2000000000,20.6400000000,14.3300000000,45392,931239.8800,0.151307,1,44.033490,19.619543,7.143481,2.626397,-169.167296,0
2018-12-06,sz.002942,22.7000000000,22.7000000000,22.7000000000,22.7000000000,20.6400000000,14011,318049.7000,0.046703,1,9.980627,21.577695,7.856444,2.888527,-186.051241,0
2018-12-07,sz.002942,24.9700000000,24.9700000000,24.9700000000,24.9700000000,22.7000000000,27375,683553.7500,0.091250,1,9.999993,23.735465,8.642089,3.177380,-204.656366,0
2018-12-10,sz.002942,27.4700000000,27.4700000000,27.4700000000,27.4700000000,24.9700000000,73668,2023659.9600,0.245560,1,10.012020,26.111863,9.507336,3.495500,-225.146590,0
2018-12-11,sz.002942,30.2200000000,30.2200000000,30.2200000000,30.2200000000,27.4700000000,182123,5503757.0600,0.607077,1,10.010920,28.725901,10.459108,3.845432,-247.685838,0
2018-12-12,sz.002942,33.2400000000,33.2400000000,33.2400000000,33.2400000000,30.2200000000,683304,22713024.9600,2.277680,1,9.993390,31.596590,11.504326,4.229720,-272.438029,0
2018-12-13,sz.002942,33.1000000000,36.2600000000,31.3600000000,34.3300000000,33.2400000000,20315702,665641201.0600,67.719007,1,3.279182,32.632699,11.881574,4.368421,-281.371767,0
2018-12-14,sz.002942,33.0000000000,33.4000000000,31.8800000000,32.0000000000,34.3300000000,13616568,445775002.6300,45.388560,1,-6.787071,30.417896,11.075164,4.071933,-262.274878,0
2018-12-17,sz.002942,31.0000000000,31.6000000000,30.5000000000,31.4400000000,32.0000000000,9125778,284413977.1200,30.419260,1,-1.749998,29.885583,10.881348,4.000674,-257.685067,0
2018-12-18,sz.002942,31.1100000000,31.8900000000,30.6600000000,31.4900000000,31.4400000000,8834597,276874011.3400,29.448657,1,0.159031,29.933111,10.898653,4.007036,-258.094872,0
2018-12-19,sz.002942,31.1500000000,31.6800000000,30.2700000000,30.7500000000,31.4900000000,7899777,243938407.9100,26.332590,1,-2.349952,29.229697,10.642540,3.912873,-252.029765,0
