date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-12-24,sz.003029,14.8700000000,16.2300000000,14.8700000000,16.2300000000,11.2700000000,303976,4932976.4800,0.674000,1,44.010600,32.542784,4.097279,4.944524,42.691775,0
2020-12-25,sz.003029,17.8500000000,17.8500000000,17.8500000000,17.8500000000,16.2300000000,232012,4141414.2000,0.514400,1,9.981500,35.791047,4.506250,5.438062,46.953062,0
2020-12-28,sz.003029,19.6400000000,19.6400000000,19.6400000000,19.6400000000,17.8500000000,94896,1863757.4400,0.210400,1,10.028000,39.380177,4.958137,5.983391,51.661520,0
2020-12-29,sz.003029,21.6000000000,21.6000000000,21.6000000000,21.6000000000,19.6400000000,102064,2204582.4000,0.226300,1,9.979600,43.310175,5.452941,6.580512,56.817150,0
2020-12-30,sz.003029,23.7600000000,23.7600000000,23.7600000000,23.7600000000,21.6000000000,133271,3166518.9600,0.295500,1,10.000000,47.641192,5.998235,7.238563,62.498865,0
2020-12-31,sz.003029,26.1400000000,26.1400000000,26.1400000000,26.1400000000,23.7600000000,239884,6270567.7600,0.531900,1,10.016800,52.413332,6.599068,7.963638,68.759274,0
2021-01-04,sz.003029,28.7500000000,28.7500000000,28.7500000000,28.7500000000,26.1400000000,296495,8524231.2500,0.657400,1,9.984700,57.646645,7.257965,8.758783,75.624679,0
2021-01-05,sz.003029,31.6300000000,31.6300000000,31.6300000000,31.6300000000,28.7500000000,166242,5258234.4600,0.368600,1,10.017400,63.421335,7.985024,9.636185,83.200299,0
2021-01-06,sz.003029,34.7900000000,34.7900000000,34.7900000000,34.7900000000,31.6300000000,344293,11977953.4700,0.763400,1,9.990500,69.757453,8.782769,10.598889,91.512438,0
2021-01-07,sz.003029,38.2700000000,38.2700000000,31.3100000000,31.3100000000,34.7900000000,3656369,129216762.6300,8.107200,1,-10.002900,62.779702,7.904240,9.538696,82.358564,0
2021-01-08,sz.003029,28.1800000000,28.1800000000,28.1800000000,28.1800000000,31.3100000000,1047600,29521368.0000,2.322800,1,-9.996800,56.503737,7.114068,8.585131,74.125338,0
2021-01-11,sz.003029,25.3600000000,28.2000000000,25.3600000000,25.8000000000,28.1800000000,20106027,520521441.8500,44.581000,1,-8.445700,51.731598,6.513235,7.860056,67.864930,0
2021-01-12,sz.003029,24.5000000000,25.1400000000,23.2200000000,23.2200000000,25.8000000000,14625441,348139560.1800,32.428900,1,-10.000000,46.558438,5.861912,7.074050,61.078437,0
2021-01-13,sz.003029,22.8200000000,24.4800000000,22.1700000000,23.6800000000,23.2200000000,14175339,333196259.7600,31.430900,1,1.981100,47.480784,5.978039,7.214191,62.288432,0
2021-01-14,sz.003029,23.0600000000,23.3500000000,22.2000000000,22.4100000000,23.6800000000,8231307,186978654.3000,18.251200,1,-5.363200,44.934306,5.657426,6.827281,58.947794,0
