date,nav,n_open
2016-08-29,1000000.0,0.0
2016-08-30,1000000.0,0.0
2016-08-31,1000000.0,0.0
2016-09-01,1000000.0,0.0
2016-09-02,1000000.0,0.0
2016-09-05,1000000.0,0.0
2016-09-06,1000000.0,0.0
2016-09-07,1000000.0,0.0
2016-09-08,1000000.0,0.0
2016-09-09,1000000.0,0.0
2016-09-12,1000000.0,0.0
2016-09-13,1000000.0,0.0
2016-09-14,1000000.0,0.0
2016-09-19,1000000.0,0.0
2016-09-20,1000000.0,0.0
2016-09-21,1000000.0,0.0
2016-09-22,1000000.0,0.0
2016-09-23,1000000.0,0.0
2016-09-26,1000000.0,0.0
2016-09-27,1000000.0,0.0
2016-09-28,997649.1658030001,13.0
2016-09-29,1001024.0638700001,13.0
2016-09-30,998720.0389070001,13.0
2016-10-10,1009795.346693,13.0
2016-10-11,1010888.514743,11.0
2016-10-12,1013063.8676730001,11.0
2016-10-13,1013290.7924840001,11.0
2016-10-14,1014497.9361250001,10.0
2016-10-17,1012753.8737775,8.0
2016-10-18,1015284.8737775,8.0
2016-10-19,1016719.8737775,8.0
2016-10-20,1016372.3412774999,5.0
2016-10-21,1016625.1112774999,4.0
2016-10-24,1018666.3402774999,2.0
2016-10-25,1018445.7695274998,0.0
2016-10-26,1018445.7695274998,0.0
2016-10-27,1018445.7695274998,0.0
2016-10-28,1018445.7695274998,0.0
2016-10-31,1018445.7695274998,0.0
2016-11-01,1018445.7695274998,0.0
2016-11-02,1018445.7695274998,0.0
2016-11-03,1018445.7695274998,0.0
2016-11-04,1018445.7695274998,0.0
2016-11-07,1018445.7695274998,0.0
2016-11-08,1018445.7695274998,0.0
2016-11-09,1018445.7695274998,0.0
2016-11-10,1018445.7695274998,0.0
2016-11-11,1018445.7695274998,0.0
2016-11-14,1018445.7695274998,0.0
2016-11-15,1018445.7695274998,0.0
2016-11-16,1018445.7695274998,0.0
2016-11-17,1018445.7695274998,0.0
2016-11-18,1018445.7695274998,0.0
2016-11-21,1018445.7695274998,0.0
2016-11-22,1018445.7695274998,0.0
2016-11-23,1018445.7695274998,0.0
2016-11-24,1018445.7695274998,0.0
2016-11-25,1018445.7695274998,0.0
2016-11-28,1018445.7695274998,0.0
2016-11-29,1018445.7695274998,0.0
2016-11-30,1018445.7695274998,0.0
2016-12-01,1018445.7695274998,0.0
2016-12-02,1018445.7695274998,0.0
2016-12-05,1018445.7695274998,0.0
2016-12-06,1018445.7695274998,0.0
2016-12-07,1018445.7695274998,0.0
2016-12-08,1018445.7695274998,0.0
2016-12-09,1018445.7695274998,0.0
2016-12-12,1018445.7695274998,0.0
2016-12-13,1018445.7695274998,0.0
2016-12-14,1005512.5824385,61.0
2016-12-15,1022944.8102195001,61.0
2016-12-16,1042706.3701055,61.0
2016-12-19,1029103.9319034998,61.0
2016-12-20,1034159.4731304997,61.0
2016-12-21,1053396.3056465,61.0
2016-12-22,1057077.6672574999,58.0
2016-12-23,1025523.1507274997,55.0
2016-12-26,1031780.2107104996,51.0
2016-12-27,1032026.8002834999,60.0
2016-12-28,1025172.6047704997,58.0
2016-12-29,1019157.3878194998,58.0
2016-12-30,1017075.9388814997,54.0
2017-01-03,1028780.8486794997,53.0
2017-01-04,1043012.5759874999,51.0
2017-01-05,1036367.6863854998,35.0
2017-01-06,1016290.4404015,21.0
2017-01-09,1013708.1840614998,16.0
2017-01-10,1013924.2910184999,14.0
2017-01-11,1009328.0485635,8.0
2017-01-12,1007689.2934375001,4.0
2017-01-13,1005416.4557115001,3.0
2017-01-16,1004064.0438475001,0.0
2017-01-17,1004064.0438475001,0.0
2017-01-18,986145.0027935002,57.0
2017-01-19,994487.7141155,53.0
2017-01-20,1025594.6938844997,57.0
2017-01-23,1037524.7805355003,57.0
2017-01-24,1018349.8291695,57.0
2017-01-25,1032277.6395545001,57.0
2017-01-26,1036966.7502535001,57.0
2017-02-03,1030685.5770585001,56.0
2017-02-06,1060237.5096935,56.0
2017-02-07,1056350.8372095,53.0
2017-02-08,1072297.7700689998,50.0
2017-02-09,1083739.0652500002,35.0
2017-02-10,1077882.8471475001,12.0
2017-02-13,1081678.0164295002,11.0
2017-02-14,1081427.3816445004,5.0
2017-02-15,1080387.6060195004,3.0
2017-02-16,1080728.2469115003,3.0
2017-02-17,1080417.7058835002,2.0
2017-02-20,1080469.8068835002,2.0
2017-02-21,1081320.5758145002,1.0
2017-02-22,1081303.6612425002,0.0
2017-02-23,1081303.6612425002,0.0
2017-02-24,1081303.6612425002,0.0
2017-02-27,1081303.6612425002,0.0
2017-02-28,1081303.6612425002,0.0
2017-03-01,1081303.6612425002,0.0
2017-03-02,1081303.6612425002,0.0
2017-03-03,1081303.6612425002,0.0
2017-03-06,1081303.6612425002,0.0
2017-03-07,1081303.6612425002,0.0
2017-03-08,1081303.6612425002,0.0
2017-03-09,1081303.6612425002,0.0
2017-03-10,1081303.6612425002,0.0
2017-03-13,1081303.6612425002,0.0
2017-03-14,1081303.6612425002,0.0
2017-03-15,1081303.6612425002,0.0
2017-03-16,1081303.6612425002,0.0
2017-03-17,1081303.6612425002,0.0
2017-03-20,1081303.6612425002,0.0
2017-03-21,1081303.6612425002,0.0
2017-03-22,1081303.6612425002,0.0
2017-03-23,1081303.6612425002,0.0
2017-03-24,1081303.6612425002,0.0
2017-03-27,1081303.6612425002,0.0
2017-03-28,1081303.6612425002,0.0
2017-03-29,1081303.6612425002,0.0
2017-03-30,1081303.6612425002,0.0
2017-03-31,1081303.6612425002,0.0
2017-04-05,1081303.6612425002,0.0
2017-04-06,1081303.6612425002,0.0
2017-04-07,1081303.6612425002,0.0
2017-04-10,1081303.6612425002,0.0
2017-04-11,1081303.6612425002,0.0
2017-04-12,1065789.5099495002,38.0
2017-04-13,1069628.3518075002,37.0
2017-04-14,1063337.6425865,60.0
2017-04-17,1007431.6735285001,19.0
2017-04-18,998734.8493145,33.0
2017-04-19,1016131.1494765001,56.0
2017-04-20,1007820.7433845,56.0
2017-04-21,995043.4627345001,56.0
2017-04-24,956444.3582315,55.0
2017-04-25,964292.2918715002,53.0
2017-04-26,972380.8612284999,55.0
2017-04-27,992112.3272605002,55.0
2017-04-28,998392.3158675,55.0
2017-05-02,999374.7198465002,55.0
2017-05-03,1000044.4676875002,51.0
2017-05-04,995980.1935155002,56.0
2017-05-05,983107.7910864998,51.0
2017-05-08,959950.3550505,38.0
2017-05-09,965237.0454375001,35.0
2017-05-10,940759.0693554999,55.0
2017-05-11,930081.4898955,33.0
2017-05-12,930292.9629215001,48.0
2017-05-15,930933.6768975,53.0
2017-05-16,951874.5279315,53.0
2017-05-17,960127.7043184999,53.0
2017-05-18,949790.6628405002,46.0
2017-05-19,945195.9862345001,45.0
2017-05-22,923671.1672545001,39.0
2017-05-23,897762.9173485,26.0
2017-05-24,894378.7492015001,16.0
2017-05-25,902278.4950434997,49.0
2017-05-26,908016.8367655003,49.0
2017-05-31,906423.2403779997,48.0
2017-06-01,874238.3666099998,44.0
2017-06-02,887766.1076949999,38.0
2017-06-05,902522.8322889999,49.0
2017-06-06,909502.7243300001,48.0
2017-06-07,939272.7711415,46.0
2017-06-08,942574.8453774999,46.0
2017-06-09,939152.7147359997,39.0
2017-06-12,913299.966668,34.0
2017-06-13,931991.060519,33.0
2017-06-14,936764.80337,46.0
2017-06-15,959634.1877424999,41.0
2017-06-16,958282.0353219999,34.0
2017-06-19,963521.2969079998,30.0
2017-06-20,966395.958046,23.0
2017-06-21,962712.021559,18.0
2017-06-22,954467.887873,18.0
2017-06-23,950914.3112309999,15.0
2017-06-26,955390.457951,14.0
2017-06-27,954797.218044,12.0
2017-06-28,951080.9224559999,11.0
2017-06-29,951566.8322259999,11.0
2017-06-30,951872.5371409999,11.0
2017-07-03,953972.5632949999,10.0
2017-07-04,953459.8718439997,9.0
2017-07-05,953710.7296239998,8.0
2017-07-06,953736.8769719999,4.0
2017-07-07,953876.7634209999,4.0
2017-07-10,953489.9507349998,4.0
2017-07-11,952142.7665409998,3.0
2017-07-12,950629.8690569998,1.0
2017-07-13,950821.4514089997,1.0
2017-07-14,951794.1002729998,1.0
2017-07-17,951451.8937049998,0.0
2017-07-18,951451.8937049998,0.0
2017-07-19,959138.1718389997,53.0
2017-07-20,959859.5562659998,53.0
2017-07-21,948480.8025009996,52.0
2017-07-24,956813.9678439997,47.0
2017-07-25,957138.9432979997,52.0
2017-07-26,952600.7059039997,52.0
2017-07-27,976168.0506019997,51.0
2017-07-28,966502.1848269997,53.0
2017-07-31,968142.4206069999,53.0
2017-08-01,980597.2816239998,52.0
2017-08-02,970741.065339,49.0
2017-08-03,984657.0359409999,45.0
2017-08-04,977041.5939274997,39.0
2017-08-07,981008.6687944997,38.0
2017-08-08,982276.8135889997,35.0
2017-08-09,982517.1892094999,31.0
2017-08-10,973928.9991904998,25.0
2017-08-11,968502.8891834996,20.0
2017-08-14,975467.7079964996,19.0
2017-08-15,978719.5637124998,12.0
2017-08-16,982472.9091794996,7.0
2017-08-17,981937.0557284995,3.0
2017-08-18,981495.4001924995,3.0
2017-08-21,982458.6403664995,3.0
2017-08-22,982720.9397074995,2.0
2017-08-23,982682.0276394995,1.0
2017-08-24,982530.1540794995,1.0
2017-08-25,982788.3391314995,1.0
2017-08-28,982985.7747594995,1.0
2017-08-29,982940.2126914995,1.0
2017-08-30,982834.8287074994,0.0
2017-08-31,982834.8287074994,0.0
2017-09-01,982834.8287074994,0.0
2017-09-04,982834.8287074994,0.0
2017-09-05,982834.8287074994,0.0
2017-09-06,982834.8287074994,0.0
2017-09-07,982834.8287074994,0.0
2017-09-08,982834.8287074994,0.0
2017-09-11,982834.8287074994,0.0
2017-09-12,982834.8287074994,0.0
2017-09-13,982834.8287074994,0.0
2017-09-14,982834.8287074994,0.0
2017-09-15,982834.8287074994,0.0
2017-09-18,982834.8287074994,0.0
2017-09-19,982834.8287074994,0.0
2017-09-20,982834.8287074994,0.0
2017-09-21,982834.8287074994,0.0
2017-09-22,982834.8287074994,0.0
2017-09-25,982834.8287074994,0.0
2017-09-26,982834.8287074994,0.0
2017-09-27,982834.8287074994,0.0
2017-09-28,982834.8287074994,0.0
2017-09-29,982834.8287074994,0.0
2017-10-09,982834.8287074994,0.0
2017-10-10,982834.8287074994,0.0
2017-10-11,982834.8287074994,0.0
2017-10-12,982834.8287074994,0.0
2017-10-13,982834.8287074994,0.0
2017-10-16,982834.8287074994,0.0
2017-10-17,982834.8287074994,0.0
2017-10-18,982834.8287074994,0.0
2017-10-19,982834.8287074994,0.0
2017-10-20,982834.8287074994,0.0
2017-10-23,984636.9080354993,12.0
2017-10-24,982882.6225234993,12.0
2017-10-25,984609.1057344993,12.0
2017-10-26,985313.7803924993,12.0
2017-10-27,981489.2763454993,11.0
2017-10-30,971511.9619824993,7.0
2017-10-31,971959.4421724994,7.0
2017-11-01,978567.9288614993,41.0
2017-11-02,970717.8656274993,37.0
2017-11-03,964453.2900979992,33.0
2017-11-06,975030.1833069992,32.0
2017-11-07,975385.5454619994,29.0
2017-11-08,982119.9887369992,26.0
2017-11-09,985757.0742149993,26.0
2017-11-10,988534.0964349994,24.0
2017-11-13,989267.6645219994,20.0
2017-11-14,981516.5627439993,17.0
2017-11-15,977159.9786529995,16.0
2017-11-16,975088.5999749994,15.0
2017-11-17,964433.1405569995,2.0
2017-11-20,964654.9001619995,1.0
2017-11-21,965774.8080089998,19.0
2017-11-22,964875.3488049998,19.0
2017-11-23,949267.2752519998,28.0
2017-11-24,948664.3935429999,24.0
2017-11-27,945641.4060869999,48.0
2017-11-28,964510.589435,53.0
2017-11-29,964913.882632,53.0
