dd,dt,mp,sp,n,pf,avg_ret,win_rate,avg_cost,sum_ret
15,-0.2,20,0.08,10853,1.6517496167666725,0.022899717497466138,0.5673085782732885,0.0036334096563162277,248.5306339999987
10,-0.2,20,0.08,7142,1.6472279772403964,0.024456003920470457,0.5390646877625315,0.003633003920470456,174.6647799999996
5,-0.15,20,0.08,8043,1.635812633980769,0.023175605371130174,0.5376103443988561,0.0036295275394753225,186.40139399999995
10,-0.2,20,0.05,7583,1.6317739205018098,0.020802485032309113,0.4388764341289727,0.0036282334168534873,157.74524399999962
10,-0.2,20,0.03,8022,1.6103493053712217,0.016837495761655448,0.3381949638494141,0.003622942907005735,135.07039099999912
5,-0.2,20,0.08,3059,1.6010724039260327,0.024577818568159528,0.497548218372017,0.0036376090225563908,75.18354700000026
5,-0.15,20,0.05,8150,1.5900565173752437,0.019094237300613496,0.44171779141104295,0.0036237906748466248,155.6180339999992
15,-0.2,20,0.05,11897,1.5602323768053743,0.017655732537614526,0.45448432377910397,0.0036263486593258766,210.0502499999992
5,-0.15,20,0.03,8257,1.540896573856271,0.01510703391062129,0.3486738524887974,0.00361798401356425,124.73877899999974
15,-0.2,20,0.03,12916,1.5407832357260736,0.014234349411582534,0.3523536698668318,0.003622039873025706,183.85085699999837
5,-0.2,20,0.05,3119,1.5160119343366156,0.01854516864379609,0.393395319012504,0.0036286716896441126,57.84238099999996
20,-0.2,20,0.08,14071,1.5134050777766794,0.017201351147750694,0.5731646649136521,0.0036223416956861626,242.0402119999985
5,-0.2,20,0.03,3197,1.4540681699919233,0.013877989990616202,0.29871754770096964,0.0036223109164842063,44.36793400000012
10,-0.15,20,0.08,17470,1.4506424320743776,0.016213461648540355,0.550429307384087,0.0036213680595306233,283.2491749999989
15,-0.2,10,0.08,11754,1.430182147582376,0.01079227071635188,0.6123021949974476,0.0036153557086949124,126.85234999999992
20,-0.2,20,0.05,15952,1.4243198845637972,0.012785574974924774,0.46552156469408223,0.003616313440320963,203.9554919999985
10,-0.15,20,0.05,18704,1.4214429178939236,0.013377303517964071,0.44733746792130025,0.003617301165526089,250.2090849999987
10,-0.15,20,0.03,19836,1.407113889195974,0.010807139645089735,0.3448275862068966,0.0036138042952208113,214.37042199999948
15,-0.15,20,0.08,24218,1.3868689957041211,0.01338036055826245,0.561400611115699,0.003616446114460317,324.04557200000215
20,-0.2,20,0.03,17747,1.3728064234819113,0.00948563548768806,0.35893390432185723,0.003612193610187638,168.34157299999836
10,-0.2,10,0.08,7144,1.3695721808607328,0.010569088185890257,0.5982642777155656,0.0036121034434490485,75.50556599999999
15,-0.15,20,0.05,27091,1.3409518052819989,0.01046233811967074,0.45926691521169394,0.0036129340740467288,283.43520200000165
20,-0.2,10,0.08,16603,1.3331197273908721,0.007823046919231464,0.6078419562729627,0.003608955309281455,129.88604799999985
10,-0.2,10,0.05,7587,1.3286290758118573,0.008653856201397126,0.5297218927112165,0.00360999077369184,65.65680699999983
15,-0.15,20,0.03,29794,1.3198457726236013,0.008182847183996778,0.3533261730549775,0.003609673222796537,243.79974899999846
15,-0.2,10,0.05,12709,1.3144562635517794,0.007626494374065622,0.5397749626249114,0.0036112555669210794,96.92511699999957
20,-0.15,20,0.08,29121,1.3019642176232218,0.009845461522612547,0.5687991483808935,0.00360916455478864,286.70968500000043
5,-0.15,10,0.08,8046,1.2890183469628869,0.009368211782252051,0.5651255282127765,0.00360877268207805,75.37663199999996
10,-0.2,10,0.03,8023,1.2866229383592238,0.006760494079521376,0.43736756824130624,0.003607784494578088,54.239444000000034
5,-0.1,20,0.08,24340,1.2843481087972841,0.010182905382087099,0.5312243221035333,0.0036119853738701725,247.85191699999947
