code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sh.600007,2018-10-23,20.0048,2018-10-25,19.4047,SL,3,-0.03,-0.032947,0.1231,0.0304,0.6467,0.0,4,0.1231
sz.002165,2018-10-23,25.8095,2018-10-24,24.9195,SL,2,-0.034483,-0.037422,0.1127,0.0029,0.7139,0.0058,4,0.1127
sh.600299,2018-11-02,28.2159,2018-11-02,29.6267,TP,1,0.05,0.046912,0.3005,-0.0459,0.3177,-0.0016,8,0.3005
sh.603828,2018-11-02,27.9398,2018-11-06,27.1016,SL,3,-0.03,-0.032947,0.193,-0.0333,0.5673,0.0,8,0.193
sh.600400,2018-11-02,36.3973,2018-11-09,36.6737,TIME,6,0.007595,0.004582,0.1599,0.0509,0.5238,0.0077,8,0.1599
sz.002215,2018-11-02,53.794,2018-11-09,53.7167,TIME,6,-0.001437,-0.004434,0.1457,-0.0402,0.6961,0.0058,8,0.1457
sh.603991,2018-11-02,17.879,2018-11-09,18.0699,TIME,6,0.010674,0.007655,0.1344,0.0412,0.6022,0.0051,8,0.1344
sz.000902,2018-11-02,22.5963,2018-11-07,23.7261,TP,4,0.05,0.046913,0.1173,-0.028,0.7487,0.0046,8,0.1173
sz.000668,2018-11-02,23.3774,2018-11-02,24.5463,TP,1,0.05,0.046913,0.1164,0.0571,0.6232,0.009,8,0.1164
sz.002221,2018-11-02,35.0206,2018-11-09,34.1585,TIME,6,-0.024619,-0.027576,0.0843,0.0523,0.7109,0.0095,8,0.0843
sh.603999,2018-11-05,11.861,2018-11-06,11.5052,SL,2,-0.03,-0.032948,0.1849,-0.0705,0.6435,-0.002,9,0.1849
sz.000803,2018-11-05,23.2721,2018-11-12,24.4357,TP,6,0.05,0.046913,0.184,-0.0465,0.6099,-0.0124,9,0.184
sz.002564,2018-11-05,18.2382,2018-11-06,17.691,SL,2,-0.03,-0.032948,0.1722,0.0486,0.4966,0.0018,9,0.1722
sh.600684,2018-11-05,42.1136,2018-11-12,43.0805,TIME,6,0.022959,0.019919,0.1529,-0.0416,0.68,0.0,9,0.1529
sz.002560,2018-11-05,18.5785,2018-11-09,19.5074,TP,5,0.05,0.046913,0.1331,-0.0175,0.6934,0.0,9,0.1331
sh.601375,2018-11-05,4.9234,2018-11-06,4.7757,SL,2,-0.03,-0.032947,0.1329,0.0189,0.6393,-0.0083,9,0.1329
sz.002172,2018-11-05,11.4773,2018-11-12,11.8087,TIME,6,0.028871,0.025821,0.1286,-0.0206,0.7093,0.0,9,0.1286
sh.600507,2018-11-05,94.7161,2018-11-12,94.2249,TIME,6,-0.005186,-0.008177,0.1038,0.0474,0.6694,0.0061,9,0.1038
sh.603701,2018-11-14,22.7062,2018-11-19,23.8416,TP,4,0.05,0.046913,0.1668,-0.0612,0.6747,-0.0016,2,0.1668
sh.603199,2018-11-14,20.9524,2018-11-21,20.3238,SL,6,-0.03,-0.032948,0.1202,-0.0033,0.7046,-0.0124,2,0.1202
sh.601900,2018-12-03,8.4957,2018-12-05,8.9204,TP,3,0.05,0.046913,0.215,-0.0037,0.468,0.0062,8,0.215
sh.601500,2018-12-03,7.4175,2018-12-05,7.1635,SL,3,-0.034247,-0.037187,0.21,0.0056,0.4667,0.0083,8,0.21
sz.002349,2018-12-03,48.0029,2018-12-10,46.5628,SL,6,-0.03,-0.032947,0.18,-0.051,0.6266,0.0065,8,0.18
sz.000919,2018-12-03,17.3814,2018-12-10,17.3032,TIME,6,-0.004498,-0.00749,0.1631,-0.0075,0.6034,0.0091,8,0.1631
sz.002290,2018-12-03,26.651,2018-12-10,25.8515,SL,6,-0.03,-0.032948,0.1461,-0.0566,0.7197,0.003,8,0.1461
sh.600750,2018-12-03,131.9243,2018-12-10,129.5935,TIME,6,-0.017668,-0.020637,0.1066,0.0243,0.6969,0.0083,8,0.1066
sz.002319,2018-12-03,30.9935,2018-12-10,30.932,TIME,6,-0.001985,-0.004982,0.1062,-0.0079,0.7464,-0.0013,8,0.1062
sh.600657,2018-12-03,50.5145,2018-12-10,48.9991,SL,6,-0.03,-0.032947,0.1008,0.0275,0.7066,0.0097,8,0.1008
sz.000715,2019-02-14,16.1678,2019-02-18,16.9762,TP,3,0.05,0.046912,0.1965,-0.063,0.6033,0.0031,6,0.1965
sh.600774,2019-02-14,53.5274,2019-02-19,56.2038,TP,4,0.05,0.046912,0.1755,-0.0364,0.6157,0.0018,6,0.1755
sz.000560,2019-02-14,18.1771,2019-02-15,19.0859,TP,2,0.05,0.046913,0.1509,-0.0377,0.6792,0.0022,6,0.1509
sh.603517,2019-02-14,39.4228,2019-02-14,38.2402,SL,1,-0.03,-0.032948,0.1166,0.0173,0.6826,0.0091,6,0.1166
sh.603833,2019-02-14,93.7751,2019-02-18,90.7696,SL,3,-0.03205,-0.034994,0.0944,0.0582,0.6767,-0.0015,6,0.0944
sh.600246,2019-02-14,33.847,2019-02-18,35.5393,TP,3,0.05,0.046913,0.0935,0.0335,0.7161,-0.0054,6,0.0935
sh.603665,2019-02-20,24.5293,2019-02-22,23.7934,SL,3,-0.03,-0.032948,0.172,0.0435,0.5048,-0.0016,7,0.172
sz.002614,2019-02-20,81.9371,2019-02-20,79.4789,SL,1,-0.03,-0.032948,0.1374,0.0348,0.6044,0.0075,7,0.1374
sz.002876,2019-02-20,41.9103,2019-02-21,44.0058,TP,2,0.05,0.046913,0.1112,-0.0065,0.7318,0.0053,7,0.1112
sz.002592,2019-02-20,51.132,2019-02-20,53.6886,TP,1,0.05,0.046913,0.1099,0.0433,0.6604,-0.006,7,0.1099
sh.603360,2019-02-20,22.7008,2019-02-21,23.8359,TP,2,0.05,0.046912,0.1067,0.0019,0.7303,-0.0039,7,0.1067
sh.603828,2019-02-20,30.8621,2019-02-21,29.9363,SL,2,-0.03,-0.032948,0.1032,0.0035,0.7366,0.0035,7,0.1032
sz.000710,2019-02-20,95.3333,2019-02-25,100.0999,TP,4,0.05,0.046913,0.0893,0.0573,0.6908,0.0,7,0.0893
sh.603165,2019-02-27,28.4098,2019-03-05,29.8303,TP,5,0.05,0.046912,0.1786,-0.0967,0.6986,-0.0045,1,0.1786
sz.002358,2019-03-05,136.0137,2019-03-05,131.9333,SL,1,-0.03,-0.032948,0.2082,-0.146,0.6985,0.0006,1,0.2082
sz.002892,2019-03-07,39.028,2019-03-08,37.8571,SL,2,-0.03,-0.032947,0.1638,-0.018,0.6176,0.0044,4,0.1638
sh.603886,2019-03-07,23.1218,2019-03-07,22.4281,SL,1,-0.03,-0.032948,0.1222,0.0225,0.6607,0.0009,4,0.1222
sz.002216,2019-03-07,65.413,2019-03-08,63.4506,SL,2,-0.03,-0.032947,0.0938,0.0329,0.7162,0.0013,4,0.0938
sh.600702,2019-03-07,69.4785,2019-03-08,67.3942,SL,2,-0.03,-0.032948,0.0902,0.0165,0.7497,-0.0088,4,0.0902
sh.603711,2019-03-08,22.5719,2019-03-08,21.8947,SL,1,-0.03,-0.032948,0.1367,0.0052,0.6503,-0.023,5,0.1367
sh.601098,2019-03-08,15.7254,2019-03-08,15.2537,SL,1,-0.03,-0.032948,0.1351,0.0096,0.6477,-0.0103,5,0.1351
sh.603899,2019-03-08,63.6726,2019-03-12,66.8563,TP,3,0.05,0.046912,0.1144,0.0114,0.697,-0.0216,5,0.1144
sh.603337,2019-03-08,61.6868,2019-03-08,64.7712,TP,1,0.05,0.046912,0.1017,0.0574,0.6595,-0.0231,5,0.1017
sz.002615,2019-03-08,32.288,2019-03-08,31.3194,SL,1,-0.03,-0.032947,0.0817,0.0586,0.7079,-0.0092,5,0.0817
sh.601326,2019-04-02,4.6281,2019-04-04,4.8636,TP,3,0.050885,0.047796,0.1744,-0.0598,0.6538,-0.0088,5,0.1744
sz.000020,2019-04-02,21.3173,2019-04-04,22.3832,TP,3,0.05,0.046913,0.1709,-0.106,0.7316,0.0008,5,0.1709
sh.601718,2019-04-02,5.5046,2019-04-02,5.7799,TP,1,0.05,0.046913,0.1546,-0.0424,0.677,0.006,5,0.1546
sz.002208,2019-04-02,48.4987,2019-04-02,50.9236,TP,1,0.05,0.046912,0.1521,-0.0695,0.724,0.0048,5,0.1521
sh.600356,2019-04-02,14.3052,2019-04-02,15.0205,TP,1,0.05,0.046913,0.1465,-0.0306,0.6798,-0.0084,5,0.1465
sh.603727,2019-06-12,16.1835,2019-06-17,15.698,SL,4,-0.03,-0.032947,0.2244,-0.1154,0.612,-0.0124,7,0.2244
sh.603813,2019-06-12,18.1495,2019-06-19,18.2205,TIME,6,0.003917,0.00091,0.2231,-0.0917,0.5798,0.0028,7,0.2231
sh.603665,2019-06-12,24.2976,2019-06-14,23.5687,SL,3,-0.03,-0.032947,0.2049,0.0021,0.4847,0.0038,7,0.2049
sh.603628,2019-06-12,7.9144,2019-06-19,7.8641,TIME,6,-0.006353,-0.009342,0.1898,-0.1124,0.6939,-0.0038,7,0.1898
sh.600996,2019-06-12,9.4802,2019-06-12,9.9542,TP,1,0.05,0.046913,0.1791,-0.0916,0.6897,0.0011,7,0.1791
sz.000420,2019-06-12,13.7677,2019-06-12,14.4561,TP,1,0.05,0.046913,0.1548,-0.0502,0.6882,0.007,7,0.1548
sz.002858,2019-06-12,35.1312,2019-06-12,34.0772,SL,1,-0.03,-0.032948,0.1441,-0.0625,0.7334,0.0029,7,0.1441
sz.000812,2019-06-24,24.2187,2019-06-26,23.4922,SL,3,-0.03,-0.032947,0.1877,-0.0944,0.6723,-0.0024,7,0.1877
