code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sh.603268,2024-04-18,19.6444,2024-04-22,18.0728,STOP,3,-0.08,-0.08286,2.0364,100,415.67429581535066
sh.603268,2024-06-11,16.893,2024-06-19,20.628,MA,7,0.221097,0.21771,1.5854,145,415.67429581535066
sh.603283,2022-04-28,16.1538,2022-05-12,17.803,MA,8,0.102094,0.098916,1.9712,837,157.85755419734159
sh.603283,2025-04-10,51.2023,2025-04-30,46.4742,STOP,15,-0.09234,-0.095179,2.4707,463,157.85755419734159
sh.603297,2025-04-10,109.154,2025-04-18,119.4576,MA,7,0.094395,0.09123,1.5988,463,115.15504543960193
sh.603298,2025-04-10,41.1147,2025-04-24,44.8546,MA,11,0.09096,0.087801,1.643,463,345.34224713445917
sh.603301,2024-02-07,39.471,2024-02-19,48.4478,MA,3,0.227429,0.224031,1.6094,986,224.0908659605896
sh.603303,2024-02-07,21.8789,2024-02-20,25.4137,MA,4,0.161563,0.15828,1.7337,986,107.81119572654094
sh.603305,2025-04-10,23.8166,2025-04-24,26.5591,MA,11,0.115152,0.11195,2.058,463,136.1093962047865
sh.603306,2024-02-07,36.6596,2024-02-23,43.0371,MA,7,0.173966,0.170661,1.6382,986,238.28396136146878
sh.603306,2025-04-10,68.6637,2025-04-24,76.9709,MA,11,0.120984,0.117772,1.8433,463,238.28396136146878
sh.603308,2024-01-24,15.5962,2024-02-01,14.3485,STOP,7,-0.08,-0.08286,1.5928,148,321.67643565337266
sh.603308,2025-04-10,25.4062,2025-04-22,29.0674,MA,9,0.144107,0.140855,1.649,463,321.67643565337266
sh.603317,2020-02-05,34.6875,2020-02-20,40.7402,MA,12,0.174493,0.171187,1.5607,525,154.65888465517904
sh.603328,2024-02-07,16.2622,2024-02-23,18.7707,MA,7,0.154255,0.150985,1.6226,986,107.47250223919804
sh.603328,2025-04-10,23.8941,2025-04-30,25.4319,MA,15,0.064356,0.061244,1.9287,463,107.47250223919804
sh.603338,2025-04-10,334.1503,2025-04-16,307.4182,STOP,5,-0.08,-0.08286,2.4677,463,287.13412654085687
sh.603345,2017-05-25,29.0,2017-06-01,26.68,STOP,4,-0.08,-0.08286,462.4755,82,248.40710938534065
sh.603444,2018-02-13,150.3016,2018-03-07,167.8898,MA,12,0.117019,0.113814,5.7941,103,277.77585664237426
sh.603486,2022-03-17,154.4919,2022-04-11,142.1326,STOP,16,-0.08,-0.08286,1.7557,122,341.323084690497
sh.603486,2025-04-10,69.7498,2025-04-25,77.1433,MA,12,0.106,0.102815,2.5703,463,341.323084690497
sh.603516,2025-04-10,80.7075,2025-04-25,69.0794,STOP,12,-0.144077,-0.146824,2.2746,463,197.73644590033533
sh.603530,2020-02-05,16.33,2020-02-19,19.0,MA,11,0.163503,0.160217,2.4182,525,199.16206816296295
sh.603601,2024-02-07,35.4505,2024-02-08,32.6145,STOP,2,-0.08,-0.08286,2.4859,986,104.80714866150758
sh.603605,2018-08-08,42.2499,2018-08-09,38.3971,STOP,2,-0.091191,-0.094032,1.7376,85,232.93697269449447
sh.603618,2018-02-08,20.8151,2018-02-28,22.3785,MA,10,0.07511,0.071979,2.1605,68,188.8781537951123
sh.603618,2022-04-28,15.1307,2022-05-10,19.1593,MA,6,0.266247,0.262781,1.505,837,188.8781537951123
sh.603618,2024-02-07,12.8982,2024-02-27,15.6068,MA,9,0.21,0.206632,2.2985,986,188.8781537951123
sh.603629,2020-02-05,22.6435,2020-02-19,25.6176,MA,11,0.131345,0.128115,2.1021,525,438.14991687768645
sh.603638,2022-04-28,84.5288,2022-05-24,77.7665,STOP,16,-0.08,-0.08286,2.1232,837,174.548477918696
sh.603662,2022-04-28,30.8132,2022-05-20,32.5619,MA,14,0.056751,0.053652,1.736,837,148.5000417045132
sh.603662,2025-04-10,145.1603,2025-04-22,160.6692,MA,9,0.10684,0.103653,1.9797,463,148.5000417045132
sh.603663,2025-04-09,57.3318,2025-04-15,68.6367,MA,5,0.197183,0.193838,1.5904,136,241.98526098872009
sh.603678,2018-10-18,38.3259,2018-11-02,42.4658,MA,12,0.108019,0.10483,1.7143,78,228.97443098342697
sh.603678,2022-04-28,90.4787,2022-05-11,105.0979,MA,7,0.161576,0.158293,1.51,837,228.97443098342697
sh.603678,2024-02-02,51.3556,2024-02-05,47.2471,STOP,2,-0.08,-0.08286,1.7473,171,228.97443098342697
sh.603678,2024-02-07,47.4498,2024-02-27,53.889,MA,9,0.135706,0.132469,2.0751,986,228.97443098342697
sh.603728,2025-04-10,75.4899,2025-04-24,87.0253,MA,11,0.152807,0.14954,2.302,463,216.19496225203423
sh.603730,2018-06-21,26.6812,2018-07-10,27.961,MA,14,0.047963,0.04488,1.7282,348,218.14420400352623
sh.603738,2024-02-07,50.2694,2024-02-23,61.0308,MA,7,0.214076,0.210702,1.6435,986,139.6665530323347
sh.603823,2020-02-05,21.9779,2020-02-18,24.8307,MA,10,0.129803,0.126576,1.862,525,291.07293313137103
sh.603823,2024-02-19,13.4857,2024-02-26,15.1464,MA,6,0.123145,0.11993,1.7548,103,291.07293313137103
sh.603826,2017-12-07,14.1744,2017-12-22,14.9368,MA,12,0.053786,0.050692,1.7591,156,144.85555910974983
sh.603859,2022-04-28,22.6872,2022-05-13,25.8573,MA,9,0.139732,0.136488,1.8482,837,101.05475632292573
sh.603859,2025-04-09,38.9286,2025-04-28,45.3865,MA,14,0.165891,0.162601,2.4765,136,101.05475632292573
sh.603876,2024-02-07,15.6234,2024-02-27,17.7881,MA,9,0.138554,0.135312,1.5992,986,203.88473412611123
sh.603906,2025-04-09,18.3677,2025-05-06,20.4669,MA,17,0.114286,0.111086,2.6107,136,109.8836561301691
sh.603920,2022-04-28,18.8957,2022-05-06,20.6188,MA,4,0.091193,0.088033,1.677,837,263.2205154333963
sh.603920,2024-02-07,20.0996,2024-02-20,23.0744,MA,4,0.148003,0.144744,1.5942,986,263.2205154333963
sh.603920,2025-04-10,40.2635,2025-05-06,43.2316,MA,16,0.073718,0.070589,3.4514,463,263.2205154333963
sh.603929,2024-02-07,16.4207,2024-02-26,19.8241,MA,8,0.207261,0.203898,1.504,986,348.09067489465167
sh.603938,2024-02-07,32.2024,2024-02-26,37.3802,MA,8,0.160788,0.157506,1.9538,986,162.66677168827948
sh.603979,2025-04-10,58.4935,2025-04-24,62.8294,MA,11,0.074126,0.070996,1.562,463,468.31695347930474
sh.603989,2018-07-09,41.9393,2018-07-16,46.0,MA,6,0.096824,0.093654,2.1222,70,112.98196549191854
sh.603989,2024-02-07,34.5331,2024-02-23,38.8784,MA,7,0.125828,0.122608,1.6687,986,112.98196549191854
sh.603991,2018-02-08,21.45,2018-03-06,23.12,MA,14,0.077855,0.074719,1.7412,68,118.02057114592567
sh.603991,2024-04-18,28.1474,2024-05-10,25.8956,STOP,14,-0.08,-0.08286,1.9743,100,118.02057114592567
sh.603991,2025-04-10,47.0812,2025-04-22,52.336,MA,9,0.111613,0.108418,2.1145,463,118.02057114592567
sh.603992,2020-02-05,15.14,2020-02-24,17.11,MA,14,0.130119,0.126891,1.7941,525,101.62665309829418
sh.603992,2024-02-07,14.1714,2024-02-21,18.2265,MA,5,0.28614,0.282639,2.001,986,101.62665309829418
sh.605060,2025-04-10,17.3127,2025-05-06,19.1175,MA,16,0.104245,0.101062,3.0075,463,100.56322190396797
sh.605099,2025-04-10,19.7666,2025-04-28,21.5498,MA,13,0.090213,0.087055,2.0751,463,131.9903584580361
sh.605198,2024-02-07,17.9812,2024-02-08,16.5427,STOP,2,-0.08,-0.08286,1.5176,986,172.85916409193047
sh.605289,2024-04-18,34.0085,2024-04-26,38.9108,MA,7,0.144148,0.140895,1.7399,100,158.05869463501307
sh.605289,2025-04-10,26.8686,2025-04-22,29.7492,MA,9,0.107212,0.104024,1.8233,463,158.05869463501307
sh.605376,2024-02-07,16.8262,2024-02-26,20.8799,MA,8,0.24092,0.237498,2.3289,986,405.8153244834541
sh.605599,2024-02-07,12.394,2024-02-20,14.6602,MA,4,0.182842,0.179522,1.9109,986,126.51657531548977
sz.000032,2020-02-05,37.2795,2020-02-17,49.9363,MA,9,0.339511,0.335917,2.6254,525,176.07865351467612
sz.000032,2022-04-28,43.149,2022-05-24,44.4107,MA,16,0.02924,0.026189,1.5019,837,176.07865351467612
sz.000034,2025-04-10,72.6584,2025-04-29,76.0694,MA,14,0.046944,0.043862,1.5843,463,207.41580001492122
sz.000035,2024-02-07,9.4387,2024-02-23,10.5077,MA,7,0.11326,0.110061,2.7015,986,112.18155014251045
sz.000061,2020-02-05,95.9107,2020-02-10,112.7483,MA,4,0.175556,0.172248,2.616,525,105.15594670025119
sz.000062,2020-02-05,66.0675,2020-02-19,76.1512,MA,11,0.152627,0.14936,1.7067,525,238.4542061202485
sz.000066,2022-04-28,71.2519,2022-05-13,82.341,MA,9,0.155633,0.152361,1.621,837,471.1342154819864
sz.000070,2020-02-05,22.0522,2020-02-18,25.5605,MA,10,0.159091,0.155813,1.8808,525,124.25296686569457
sz.000099,2025-04-09,59.4173,2025-04-24,68.156,MA,12,0.147074,0.143816,2.5321,136,110.34876916354725
sz.000155,2018-07-09,5.8907,2018-07-26,6.4845,MA,14,0.100806,0.09763,1.5805,70,225.30858352975267
sz.000158,2025-04-09,39.4235,2025-04-21,47.0109,MA,9,0.192457,0.18912,1.6331,136,212.13131332054164
sz.000400,2022-04-28,87.8233,2022-05-11,96.963,MA,7,0.104069,0.100887,1.7907,837,228.69610457829216
sz.000506,2024-02-07,5.8749,2024-02-27,7.1244,MA,9,0.212687,0.209314,2.053,986,166.25252174392784
sz.000534,2022-04-28,24.4609,2022-05-16,29.0672,MA,10,0.188312,0.184982,1.8165,837,136.0280027166419
sz.000553,2020-02-05,26.1898,2020-02-14,31.4597,MA,8,0.20122,0.197867,3.3011,525,118.0163262909554
sz.000555,2024-02-07,17.8671,2024-02-20,20.4034,MA,4,0.141952,0.138703,1.5571,986,105.52781362906654
sz.000564,2020-02-05,4.546,2020-02-21,5.2059,MA,13,0.145161,0.141907,1.8723,525,216.68438900780328
sz.000592,2020-02-05,11.2795,2020-02-21,12.7997,MA,13,0.134783,0.131547,1.8676,525,122.88096501374152
sz.000592,2024-06-11,7.7975,2024-06-20,7.1737,STOP,8,-0.08,-0.08286,2.7052,145,122.88096501374152
sz.000603,2024-02-07,17.0332,2024-02-23,19.4879,MA,7,0.14411,0.140858,1.735,986,216.98602388964886
