date,nav,q,n_pos
2010-01-04,100000.0,,0
2010-01-05,100000.0,,0
2010-01-06,100000.0,,0
2010-01-07,100000.0,,0
2010-01-08,100000.0,,0
2010-01-11,100000.0,,0
2010-01-12,100000.0,,0
2010-01-13,100000.0,,0
2010-01-14,100000.0,,0
2010-01-15,100000.0,,0
2010-01-18,100000.0,,0
2010-01-19,100000.0,,0
2010-01-20,100000.0,,0
2010-01-21,100000.0,,0
2010-01-22,100000.0,,0
2010-01-25,100000.0,,0
2010-01-26,100000.0,,0
2010-01-27,100000.0,,0
2010-01-28,100000.0,,0
2010-01-29,100000.0,,0
2010-02-01,100000.0,,0
2010-02-02,100000.0,,0
2010-02-03,100000.0,,0
2010-02-04,100000.0,,0
2010-02-05,100000.0,,0
2010-02-08,100000.0,,0
2010-02-09,100000.0,,0
2010-02-10,100000.0,,0
2010-02-11,100000.0,,0
2010-02-12,100000.0,,0
2010-02-22,100000.0,,0
2010-02-23,100000.0,,0
2010-02-24,100000.0,,0
2010-02-25,100000.0,,0
2010-02-26,100000.0,,0
2010-03-01,100000.0,,0
2010-03-02,100000.0,,0
2010-03-03,100000.0,,0
2010-03-04,100000.0,,0
2010-03-05,100000.0,,0
2010-03-08,100000.0,,0
2010-03-09,100000.0,,0
2010-03-10,100000.0,,0
2010-03-11,100000.0,,0
2010-03-12,100000.0,,0
2010-03-15,100000.0,,0
2010-03-16,100000.0,,0
2010-03-17,100000.0,,0
2010-03-18,100000.0,,0
2010-03-19,100000.0,,0
2010-03-22,100000.0,,0
2010-03-23,100000.0,,0
2010-03-24,100000.0,,0
2010-03-25,100000.0,,0
2010-03-26,100000.0,,0
2010-03-29,100000.0,,0
2010-03-30,100000.0,,0
2010-03-31,100000.0,,0
2010-04-01,100000.0,,0
2010-04-02,100000.0,0.7833333333333333,0
2010-04-06,100000.0,0.7704918032786885,0
2010-04-07,100000.0,0.7258064516129032,0
2010-04-08,100000.0,0.6666666666666666,0
2010-04-09,100000.0,0.71875,0
2010-04-12,100000.0,0.6615384615384615,0
2010-04-13,100000.0,0.7424242424242424,0
2010-04-14,100000.0,0.7761194029850746,0
2010-04-15,100000.0,0.7647058823529411,0
2010-04-16,100000.0,0.6376811594202898,0
2010-04-19,99937.662698625,0.08571428571428572,1
2010-04-20,99848.142864875,0.08450704225352113,2
2010-04-21,101485.226801975,0.2916666666666667,3
2010-04-22,100385.40740197501,0.1506849315068493,3
2010-04-23,100024.26800197501,0.12162162162162163,3
2010-04-26,99460.680201975,0.08,3
2010-04-27,97470.37580197501,0.013157894736842105,3
2010-04-28,97124.323001975,0.012987012987012988,3
2010-04-29,95957.177301975,0.01282051282051282,3
2010-04-30,96185.69860197499,0.02531645569620253,3
2010-05-04,94685.92780197502,0.0125,3
2010-05-05,95216.306301975,0.024691358024691357,3
2010-05-06,90848.766901975,0.012195121951219513,3
2010-05-07,88968.669801975,0.012048192771084338,3
2010-05-10,89639.86700197501,0.023809523809523808,3
2010-05-11,87842.746201975,0.011764705882352941,3
2010-05-12,88385.582101975,0.023255813953488372,3
2010-05-13,90537.488401975,0.05747126436781609,3
2010-05-14,89946.29400197501,0.056818181818181816,3
2010-05-17,85147.753601975,0.011235955056179775,3
2010-05-18,86920.366501975,0.022222222222222223,3
2010-05-19,86633.220301975,0.02197802197802198,3
2010-05-20,85501.662701975,0.021739130434782608,3
2010-05-21,86840.33240197501,0.043010752688172046,3
2010-05-24,90116.753801975,0.11702127659574468,3
2010-05-25,88253.59000197501,0.07368421052631578,3
2010-05-26,88253.621301975,0.08333333333333333,3
2010-05-27,89694.516801975,0.12371134020618557,3
2010-05-28,89391.62670197501,0.11224489795918367,3
2010-05-31,86980.33730197501,0.06060606060606061,3
2010-06-01,86069.444701975,0.03,3
2010-06-02,86487.76920197501,0.039603960396039604,3
2010-06-03,85816.35290197501,0.029411764705882353,3
2010-06-04,86076.61240197501,0.04854368932038835,3
2010-06-07,84553.05360197501,0.009615384615384616,3
2010-06-08,84666.390901975,0.01904761904761905,3
2010-06-09,87257.937001975,0.12264150943396226,3
2010-06-10,86252.894001975,0.07476635514018691,3
2010-06-11,86529.679901975,0.09259259259259259,3
2010-06-17,86024.71700197502,0.05504587155963303,3
2010-06-18,84567.16990197501,0.01818181818181818,3
2010-06-21,87211.926001975,0.15315315315315314,3
2010-06-22,87307.61010197499,0.16964285714285715,3
2010-06-23,86518.067601975,0.10619469026548672,3
2010-06-24,86486.861501975,0.09649122807017543,3
2010-06-25,85822.957201975,0.06086956521739131,3
2010-06-28,85212.294201975,0.04310344827586207,3
2010-06-29,81307.368801975,0.008547008547008548,3
2010-06-30,80401.265101975,0.00847457627118644,3
2010-07-01,79243.196401975,0.008403361344537815,3
2010-07-02,79494.660601975,0.016666666666666666,3
2010-07-05,78823.150401975,0.008264462809917356,3
2010-07-06,80396.00670197501,0.03278688524590164,3
2010-07-07,80946.10420197499,0.04878048780487805,3
2010-07-08,80803.501401975,0.04838709677419355,3
2010-07-09,83031.529301975,0.072,3
2010-07-12,83942.797501975,0.07936507936507936,3
2010-07-13,82639.935001975,0.07086614173228346,3
2010-07-14,83235.135801975,0.0859375,3
2010-07-15,81823.818801975,0.06976744186046512,3
2010-07-16,82061.980501975,0.07692307692307693,3
2010-07-19,84138.54770197501,0.11450381679389313,3
2010-07-20,85986.21800197501,0.18181818181818182,3
2010-07-21,86168.759601975,0.21052631578947367,3
2010-07-22,87231.425901975,0.291044776119403,3
2010-07-23,87600.452901975,0.3111111111111111,3
2010-07-26,88163.19560197499,0.3235294117647059,3
2010-07-27,87683.33530197502,0.31386861313868614,3
2010-07-28,89811.73530197502,0.38405797101449274,3
2010-07-29,90257.82290197501,0.4028776978417266,3
2010-07-30,89972.053901975,0.39285714285714285,3
2010-08-02,91487.88160197501,0.425531914893617,3
2010-08-03,89882.06640197501,0.38028169014084506,3
2010-08-04,90209.558301975,0.40559440559440557,3
2010-08-05,89408.12180197501,0.3541666666666667,3
2010-08-06,90873.900801975,0.43448275862068964,3
2010-08-09,91518.117401975,0.4452054794520548,3
2010-08-10,88838.743501975,0.3333333333333333,3
2010-08-11,89388.778401975,0.34459459459459457,3
2010-08-12,88330.055901975,0.3221476510067114,3
2010-08-13,89555.79520197501,0.36666666666666664,3
2010-08-16,91638.37200197502,0.46357615894039733,3
2010-08-17,92270.882401975,0.46710526315789475,3
2010-08-18,92116.60470197501,0.46405228758169936,3
2010-08-19,92681.037601975,0.474025974025974,3
2010-08-20,90894.997001975,0.43870967741935485,3
2010-08-23,90827.98370197501,0.4230769230769231,3
2010-08-24,91317.359201975,0.445859872611465,3
2010-08-25,89163.79400197501,0.3291139240506329,3
2010-08-26,89385.08500197499,0.3333333333333333,3
2010-08-27,89650.28990197499,0.36875,3
2010-08-30,91416.98710197501,0.45962732919254656,3
2010-08-31,91046.95850197501,0.4506172839506173,3
2010-09-01,90447.688701975,0.4171779141104294,3
2010-09-02,91616.77500197501,0.4817073170731707,3
2010-09-03,91579.590601975,0.47878787878787876,3
2010-09-06,93297.49110197501,0.5120481927710844,3
2010-09-07,93548.45450197501,0.5149700598802395,3
2010-09-08,93481.441201975,0.5119047619047619,3
2010-09-09,91775.37210197501,0.48520710059171596,3
2010-09-10,91966.114301975,0.48823529411764705,3
2010-09-13,92897.758801975,0.5087719298245614,3
2010-09-14,92981.95580197501,0.5116279069767442,3
2010-09-15,91360.146301975,0.4393063583815029,3
2010-09-16,89625.96980197502,0.3333333333333333,3
2010-09-17,89738.02380197501,0.35428571428571426,3
2010-09-20,89376.790501975,0.30113636363636365,3
2010-09-21,89616.172901975,0.3333333333333333,3
2010-09-27,91104.581801975,0.4438202247191011,3
2010-09-28,90349.563201975,0.4022346368715084,3
2010-09-29,90158.78970197501,0.3888888888888889,3
2010-09-30,92060.640301975,0.5082872928176796,3
2010-10-08,95461.66700197502,0.5659340659340659,3
2010-10-11,98236.78760197501,0.5901639344262295,3
2010-10-12,99483.497901975,0.625,3
2010-10-13,100887.33420197501,0.6864864864864865,3
2010-10-14,101092.756101975,0.6989247311827957,3
2010-10-15,104151.37816565,0.8342245989304813,0
2010-10-18,104151.37816565,0.8191489361702128,0
2010-10-19,104151.37816565,0.8835978835978836,0
2010-10-20,104151.37816565,0.9157894736842105,0
2010-10-21,104151.37816565,0.8743455497382199,0
2010-10-22,104151.37816565,0.8802083333333334,0
2010-10-25,104151.37816565,0.9585492227979274,0
2010-10-26,104151.37816565,0.9381443298969072,0
2010-10-27,104151.37816565,0.9128205128205128,0
2010-10-28,104151.37816565,0.9030612244897959,0
2010-10-29,104151.37816565,0.868020304568528,0
2010-11-01,104151.37816565,0.9494949494949495,0
2010-11-02,104151.37816565,0.9296482412060302,0
2010-11-03,104151.37816565,0.92,0
2010-11-04,104151.37816565,0.9552238805970149,0
2010-11-05,104151.37816565,0.9801980198019802,0
2010-11-08,104151.37816565,0.9950738916256158,0
2010-11-09,104151.37816565,0.9754901960784313,0
2010-11-10,104151.37816565,0.9560975609756097,0
2010-11-11,104151.37816565,0.9660194174757282,0
2010-11-12,104151.37816565,0.7246376811594203,0
2010-11-15,104151.37816565,0.7548076923076923,0
2010-11-16,104151.37816565,0.5454545454545454,0
2010-11-17,104151.37816565,0.5095238095238095,0
2010-11-18,104151.37816565,0.5260663507109005,0
2010-11-19,104151.37816565,0.5707547169811321,0
2010-11-22,104151.37816565,0.5492957746478874,0
2010-11-23,104151.37816565,0.5046728971962616,0
2010-11-24,104151.37816565,0.5720930232558139,0
2010-11-25,104151.37816565,0.6342592592592593,0
2010-11-26,104151.37816565,0.5852534562211982,0
2010-11-29,104151.37816565,0.5825688073394495,0
2010-11-30,104151.37816565,0.5068493150684932,0
2010-12-01,104151.37816565,0.5045454545454545,0
2010-12-02,104151.37816565,0.5339366515837104,0
2010-12-03,104151.37816565,0.536036036036036,0
2010-12-06,104151.37816565,0.5381165919282511,0
2010-12-07,104151.37816565,0.6071428571428571,0
2010-12-08,104151.37816565,0.5466666666666666,0
2010-12-09,104151.37816565,0.48672566371681414,0
2010-12-10,104151.37816565,0.5330396475770925,0
2010-12-13,104151.37816565,0.7017543859649122,0
2010-12-14,104151.37816565,0.7074235807860262,0
2010-12-15,104151.37816565,0.6826086956521739,0
2010-12-16,104151.37816565,0.6536796536796536,0
2010-12-17,104151.37816565,0.646551724137931,0
2010-12-20,104151.37816565,0.5665236051502146,0
2010-12-21,104151.37816565,0.688034188034188,0
2010-12-22,104151.37816565,0.6212765957446809,0
2010-12-23,104151.37816565,0.5720338983050848,0
2010-12-24,104151.37816565,0.5147679324894515,0
2010-12-27,104151.37816565,0.4495798319327731,0
2010-12-28,104151.37816565,0.4351464435146444,0
2010-12-29,104151.37816565,0.44166666666666665,0
2010-12-30,104151.37816565,0.44398340248962653,0
2010-12-31,104151.37816565,0.47520661157024796,0
2011-01-04,104151.37816565,0.5843621399176955,0
2011-01-05,104151.37816565,0.5573770491803278,0
2011-01-06,104151.37816565,0.5142857142857142,0
2011-01-07,104151.37816565,0.5284552845528455,0
2011-01-10,104151.37816565,0.4574898785425101,0
2011-01-11,104151.37816565,0.46774193548387094,0
2011-01-12,104151.37816565,0.4859437751004016,0
2011-01-13,104151.37816565,0.484,0
2011-01-14,104151.37816565,0.4342629482071713,0
2011-01-17,104151.37816565,0.3888888888888889,0
2011-01-18,104151.37816565,0.3952569169960474,0
2011-01-19,104151.37816565,0.41732283464566927,0
2011-01-20,104151.37816565,0.37254901960784315,0
2011-01-21,104151.37816565,0.40625,0
2011-01-24,104151.37816565,0.3735408560311284,0
2011-01-25,104151.37816565,0.3643410852713178,0
2011-01-26,104151.37816565,0.4015444015444015,0
2011-01-27,104151.37816565,0.41923076923076924,0
2011-01-28,104151.37816565,0.42528735632183906,0
2011-01-31,104151.37816565,0.4541984732824427,0
2011-02-01,104151.37816565,0.45627376425855515,0
2011-02-09,104151.37816565,0.42424242424242425,0
2011-02-10,104151.37816565,0.47547169811320755,0
2011-02-11,104151.37816565,0.48872180451127817,0
2011-02-14,104151.37816565,0.6741573033707865,0
2011-02-15,104151.37816565,0.667910447761194,0
2011-02-16,104151.37816565,0.724907063197026,0
2011-02-17,104151.37816565,0.7185185185185186,0
2011-02-18,104151.37816565,0.6494464944649446,0
2011-02-21,104151.37816565,0.7389705882352942,0
2011-02-22,104151.37816565,0.5457875457875457,0
2011-02-23,104151.37816565,0.5802919708029197,0
2011-02-24,104151.37816565,0.6181818181818182,0
2011-02-25,104151.37816565,0.6231884057971014,0
