code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600172,2021-06-29,6.55,2021-07-05,6.588,TRAIL,5,0.005802,0.002275
sh.600172,2021-11-12,12.38,2021-11-15,11.412,TRAIL,2,-0.078191,-0.081583
sh.600172,2024-10-31,4.18,2024-11-01,3.825,TRAIL,2,-0.084928,-0.088341
sh.600172,2025-01-02,3.95,2025-01-03,4.167,TRAIL,2,0.054937,0.051342
sh.600172,2025-03-11,4.55,2025-03-24,4.32,TRAIL,10,-0.050549,-0.05402
sh.600172,2025-06-23,4.27,2025-08-11,4.554,TRAIL,36,0.066511,0.062893
sh.600172,2025-09-25,5.24,2025-10-15,6.012,TRAIL,9,0.147328,0.143603
sh.600172,2025-10-21,6.86,2025-10-23,7.641,TRAIL,3,0.113848,0.110136
sh.600172,2026-03-11,10.5,2026-03-13,10.431,TRAIL,3,-0.006571,-0.01012
sh.600172,2026-05-26,12.74,2026-05-29,14.454,TRAIL,4,0.134537,0.130714
sh.600172,2026-06-04,14.24,2026-06-05,13.32,TRAIL,2,-0.064607,-0.068013
sh.600172,2026-06-22,15.41,2026-06-25,16.83,TRAIL,4,0.092148,0.088428
sh.600172,2026-07-03,17.66,2026-07-06,16.695,TRAIL,2,-0.054643,-0.058194
sh.600179,2025-11-10,4.8,2025-11-18,4.545,TRAIL,7,-0.053125,-0.056587
sh.600184,2021-01-13,13.73,2021-01-14,12.537,TRAIL,2,-0.08689,-0.0903
sh.600184,2021-12-17,15.1,2021-12-22,15.25,TRAIL,4,0.009934,0.006315
sh.600184,2021-12-30,16.5,2021-12-31,15.768,TRAIL,2,-0.044364,-0.047807
sh.600184,2024-10-22,11.07,2024-11-01,10.827,TRAIL,9,-0.021951,-0.025422
sh.600184,2025-08-01,20.75,2025-08-11,22.5,TRAIL,7,0.084337,0.080506
sh.600184,2026-06-01,26.71,2026-06-02,24.696,TRAIL,2,-0.075402,-0.079037
sh.600185,2021-05-14,7.2,2021-05-17,7.173,TRAIL,2,-0.00375,-0.007313
sh.600185,2021-08-17,8.88,2021-08-31,9.63,TRAIL,11,0.084459,0.080809
sh.600185,2025-04-10,6.87,2025-04-24,6.34,TRAIL,11,-0.077147,-0.080571
sh.600186,2018-11-13,2.19,2018-11-19,2.16,TRAIL,5,-0.013699,-0.017193
