code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sh.603738,2025-04-10,68.0713,2025-05-07,70.0487,MA,17,0.029049,0.025998,,463,139.6665530323347
sh.603757,2017-12-07,57.0,2017-12-29,59.4,MA,17,0.042105,0.039032,,156,112.99933875474731
sh.603757,2018-06-25,40.2588,2018-07-04,37.0381,STOP,8,-0.08,-0.08286,,110,112.99933875474731
sh.603757,2018-07-09,37.0693,2018-07-17,38.8129,MA,7,0.047036,0.043954,,70,112.99933875474731
sh.603757,2025-04-10,49.5661,2025-04-28,49.815,MA,13,0.005023,0.002014,,463,112.99933875474731
sh.603766,2018-10-22,11.3664,2018-11-05,12.3038,MA,11,0.082474,0.07933,,282,287.1133207010444
sh.603773,2018-06-21,65.6,2018-07-02,72.82,MA,8,0.110061,0.106868,,348,211.80016539845514
sh.603773,2019-05-06,35.0,2019-05-08,32.2,STOP,3,-0.08,-0.08286,,87,211.80016539845514
sh.603773,2025-04-10,50.1705,2025-05-06,51.7991,MA,16,0.032462,0.029405,,463,211.80016539845514
sh.603786,2022-02-15,67.9025,2022-02-22,62.4703,STOP,6,-0.08,-0.08286,,73,171.99316786865074
sh.603800,2017-05-25,21.7649,2017-06-02,20.0237,STOP,5,-0.08,-0.08286,,82,133.334061314129
sh.603800,2018-02-09,12.298,2018-03-01,14.0549,MA,10,0.142857,0.139607,,234,133.334061314129
sh.603800,2018-06-21,15.4245,2018-07-04,17.1608,MA,10,0.112565,0.109368,,348,133.334061314129
sh.603800,2018-10-22,11.3059,2018-11-06,13.0018,MA,12,0.15,0.146737,,282,133.334061314129
sh.603800,2022-10-12,36.5679,2022-10-19,39.4973,MA,6,0.080108,0.076968,,81,133.334061314129
sh.603806,2018-06-21,32.3835,2018-06-22,29.5657,STOP,2,-0.087012,-0.08986,,348,397.81391618161723
sh.603823,2017-05-25,21.15,2017-06-16,22.3369,MA,15,0.056119,0.05302,,82,291.07293313137103
sh.603823,2019-05-08,19.171,2019-05-20,17.6373,STOP,9,-0.08,-0.08286,,200,291.07293313137103
sh.603823,2020-02-05,21.9779,2020-02-18,24.8307,MA,10,0.129803,0.126576,,525,291.07293313137103
sh.603823,2024-02-19,13.4857,2024-02-26,15.1464,MA,6,0.123145,0.11993,,103,291.07293313137103
sh.603823,2024-06-11,20.8024,2024-06-26,19.1383,STOP,12,-0.08,-0.08286,,145,291.07293313137103
sh.603826,2017-12-07,14.1744,2017-12-22,14.9368,MA,12,0.053786,0.050692,,156,144.85555910974983
sh.603826,2026-07-22,36.3353,2026-08-05,38.1763,MA,11,0.050667,0.047578,,84,144.85555910974983
sh.603858,2017-12-07,53.7122,2018-01-04,54.0399,MA,20,0.0061,0.003089,,156,166.25478856905818
sh.603858,2019-05-15,34.5305,2019-06-21,35.2938,MA,27,0.022106,0.019067,,86,166.25478856905818
sh.603858,2022-02-15,40.8648,2022-02-24,43.0372,MA,8,0.053159,0.050066,,73,166.25478856905818
sh.603858,2022-04-28,37.5038,2022-05-16,47.095,MA,10,0.255738,0.25229,,837,166.25478856905818
sh.603859,2018-02-09,15.807,2018-03-02,18.2118,MA,11,0.152132,0.148866,,234,101.05475632292573
sh.603859,2018-06-25,16.7521,2018-07-09,18.4677,MA,11,0.10241,0.09923,,110,101.05475632292573
