ma_f,ma_s,n,pf,avg_ret,win_rate,avg_cost,sum_ret
5,30,221113,0.9374382893977037,-0.0027458560238430123,0.28454229285478466,0.003599638515148363,-607.1444629999969
10,30,183617,0.9098569936614448,-0.0045324400191703385,0.30687790346209776,0.0035975757854664874,-832.2330389999981
20,150,50222,0.8957857399899414,-0.009332634901039385,0.2367687467643662,0.0035907908486320734,-468.70358999999996
15,30,176200,0.894590533587871,-0.005479740624290579,0.3181838819523269,0.0035958428093076046,-965.5302979999915
5,40,185713,0.8885980121667232,-0.005363791064707371,0.25949718113433096,0.0035954737040487204,-996.1257299999965
15,150,56488,0.8879459015498895,-0.009294438500212434,0.22542840957371477,0.003590201671151395,-525.0242419999977
20,140,52609,0.8777008118695943,-0.010873303674276264,0.23859035526240757,0.0035886751506396235,-572.0336330000002
10,150,66460,0.8733998260603172,-0.009387088233523924,0.21238338850436353,0.003589591047246464,-623.8658840000029
20,30,183658,0.8686424153503223,-0.0067563810234239725,0.33247122368750615,0.0035938506027507647,-1240.863426000001
15,140,58990,0.8679067358256057,-0.010901093354805899,0.2262078318359044,0.003587946736735039,-643.0554969999953
10,40,149894,0.8653065498993973,-0.007551754399775842,0.2855884825276529,0.003592180047233378,-1131.9626739999994
15,40,137896,0.8606034145833418,-0.008224638495677903,0.2983117711898822,0.003591053467830829,-1134.144749999994
20,130,55176,0.8593056536276833,-0.012423582119037263,0.2430404523705959,0.003587198600840946,-685.4835670000058
10,140,69241,0.8549759196173331,-0.010699221573922965,0.21480047948469838,0.003587890715038777,-740.8248009999976
15,130,61752,0.8451276728429097,-0.012694040824588677,0.22912618214794664,0.0035861769335406146,-783.8824089999949
20,40,134882,0.8401440304621575,-0.00964522316543349,0.3068385700093415,0.003589454552868432,-1300.9669910000096
20,120,58456,0.8393626813732716,-0.013938375342137677,0.24389284247981388,0.003584607585192282,-814.7816689999999
5,50,163095,0.838782747620001,-0.008350723841932617,0.24048560654833073,0.003590507323952298,-1361.9613050000132
20,110,62164,0.8335937638056368,-0.014121404784119426,0.24826266006048517,0.0035843001898204756,-877.8430070000003
15,120,65118,0.8331718749237499,-0.013496688427162996,0.23299241377192173,0.003585120965017353,-878.8773569999981
10,130,72431,0.8330794507963095,-0.012246428725269567,0.21653711808479795,0.00358590748436443,-887.0210790000042
20,100,66048,0.8272886383188405,-0.014296291394137597,0.2556171269379845,0.003584262097262597,-944.2414540000013
15,50,116625,0.8272419853211062,-0.011183918988210076,0.2825466237942122,0.0035866679271168277,-1304.3245519999994
15,110,68861,0.8271861679632413,-0.01370009548220328,0.23784144871552837,0.0035843930671933324,-943.4022749999955
10,50,129422,0.8267654184246775,-0.010525481757351919,0.26737339864937953,0.0035875298094605245,-1362.228899999991
20,50,111089,0.8224724219149194,-0.011822449639478256,0.29139698800061214,0.0035865752774802175,-1313.3441080000007
10,120,75867,0.8217296958905124,-0.012956322775383236,0.22053066550674205,0.0035850860453161444,-982.957339999997
20,90,70935,0.8209573637222248,-0.014425101980686543,0.2609008246986678,0.003583995841263128,-1023.2446090000067
15,100,73232,0.8199325854552244,-0.013943471296700895,0.2422028621367708,0.0035839710918724055,-1021.1082899999985
10,100,84934,0.8151992294893229,-0.01287442502413639,0.2290719853062378,0.003584794522805945,-1093.4764150000028
15,60,102617,0.8101613327964928,-0.012986167243244296,0.270803083309783,0.003584456522798367,-1332.6015240000004
20,80,77210,0.8100120774477503,-0.01492285154772698,0.26373526745240256,0.003583084198937962,-1152.1933679999947
15,90,78325,0.8093721583436221,-0.014424618104053624,0.24780082987551869,0.0035833056750718163,-1129.8082130000073
20,60,95880,0.8087587789930493,-0.013594879109303296,0.2799436795994994,0.0035835874634960376,-1303.4770089999954
10,110,79951,0.8085739277732307,-0.01368682892021363,0.22277394904378933,0.0035841490287801276,-1094.2756590000001
15,80,84706,0.8064654514360556,-0.014330033763841994,0.2522607607489434,0.0035836361886997375,-1213.83984
10,90,90360,0.8054590205269775,-0.013358010624169987,0.23368747233289067,0.0035842373837981414,-1207.0298400000104
20,70,85234,0.8043579819916831,-0.014646516742145153,0.27038505760611964,0.003582783079522256,-1248.3812080000002
5,150,89070,0.8031956989923446,-0.012103010171775008,0.18180083080723028,0.0035842239250028062,-1078.0151160000082
10,60,115954,0.8017626370747513,-0.012633938777446228,0.25467857943667316,0.0035848351242734177,-1464.9557370000284
10,70,105981,0.8006002206901845,-0.013070494173483927,0.24644039969428483,0.0035842621413272203,-1385.2240430000127
15,70,92771,0.8000765054328908,-0.014284541009582735,0.25957465156137155,0.003583343641870842,-1325.1911539999949
10,80,97396,0.8000207922979194,-0.013535119676372746,0.23852108916177256,0.0035837580085424457,-1318.2665159999983
5,60,148294,0.7910584536427003,-0.011273427758371883,0.22785143026690224,0.0035857905377156196,-1671.7816960000139
5,70,137065,0.7831312443903495,-0.011954342603874074,0.2185970160142998,0.0035854085215043952,-1638.5219690000263
5,140,92770,0.7830010877647986,-0.013287367931443354,0.1829578527541231,0.003582578150264094,-1232.6691229999967
5,80,126758,0.780730924419125,-0.012368536991748055,0.21136338534845928,0.003584972096435728,-1567.8110119999992
5,90,118725,0.7769314901751161,-0.012742293981890924,0.20428721836176036,0.0035839947694251417,-1512.828853000022
5,110,105752,0.7751152004423884,-0.013379871803842954,0.1935377108707164,0.0035828094125879423,-1414.9482029999942
5,100,112057,0.7716864378150522,-0.013307379842401636,0.1976226384786314,0.003583245482209948,-1491.185062999981
5,130,96738,0.7698208127238065,-0.014024649413880791,0.18629700841448035,0.0035820065227728497,-1356.7165350000103
5,120,100853,0.766231361690454,-0.0141422709587221,0.18884911703171944,0.0035815906120789665,-1426.2904530000128
