code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sh.600638,2017-09-13,160.1762,2017-09-14,168.185,TP,2,0.05,0.046913,0.1712,-0.0107,0.588,0.0046,13,0.1712
sh.600054,2017-09-13,55.7116,2017-09-20,55.6788,TIME,6,-0.000588,-0.003587,0.1667,0.0024,0.5797,-0.0006,13,0.1667
sh.600661,2017-09-13,80.5272,2017-09-14,84.5535,TP,2,0.05,0.046913,0.1399,-0.0023,0.6538,0.0014,13,0.1399
sh.603099,2017-09-13,15.1087,2017-09-20,15.0478,TIME,6,-0.00403,-0.007022,0.1392,-0.0268,0.6923,0.0013,13,0.1392
sz.002713,2017-09-13,48.6565,2017-09-14,47.1968,SL,2,-0.03,-0.032948,0.1284,0.0229,0.6447,-0.0031,13,0.1284
sz.002323,2017-09-13,34.3833,2017-09-18,33.3518,SL,4,-0.03,-0.032948,0.1262,-0.0279,0.7263,-0.0025,13,0.1262
sh.603939,2017-09-13,71.3255,2017-09-20,74.1907,TIME,6,0.040171,0.037101,0.1234,-0.0278,0.7332,0.0029,13,0.1234
sh.600573,2017-09-13,11.5566,2017-09-20,11.4921,TIME,6,-0.005576,-0.008566,0.1185,-0.0226,0.7377,-0.0028,13,0.1185
sz.002199,2017-10-10,46.4061,2017-10-12,45.0139,SL,3,-0.03,-0.032947,0.2265,-0.0329,0.4832,0.0,16,0.2265
sh.603028,2017-10-10,13.4283,2017-10-17,13.3882,TIME,6,-0.002987,-0.005982,0.2255,-0.0694,0.5403,-0.0015,16,0.2255
sh.600530,2017-10-10,29.5964,2017-10-10,31.0762,TP,1,0.05,0.046913,0.1994,-0.0468,0.5717,-0.0063,16,0.1994
sh.603958,2017-10-10,20.853,2017-10-16,21.8957,TP,5,0.05,0.046912,0.1954,-0.0467,0.5816,0.0034,16,0.1954
sz.000969,2017-10-10,55.1557,2017-10-11,53.501,SL,2,-0.03,-0.032948,0.1869,-0.0145,0.5544,-0.0009,16,0.1869
sh.600119,2017-10-10,32.6039,2017-10-11,34.2341,TP,2,0.05,0.046912,0.1772,-0.0426,0.6207,0.0061,16,0.1772
sz.000078,2017-10-10,64.2518,2017-10-10,67.4643,TP,1,0.05,0.046912,0.1761,-0.0478,0.6315,-0.0046,16,0.1761
sh.600743,2017-10-10,47.9941,2017-10-17,47.5445,TIME,6,-0.009368,-0.012351,0.1698,0.0,0.5755,0.0,16,0.1698
sh.600780,2017-10-11,46.3444,2017-10-18,44.954,SL,6,-0.03,-0.032948,0.2416,-0.0336,0.4464,0.0,18,0.2416
sh.600793,2017-10-11,39.8127,2017-10-16,41.8034,TP,4,0.05,0.046912,0.1944,-0.0782,0.6314,0.0049,18,0.1944
sh.603988,2017-10-11,72.5346,2017-10-16,70.3586,SL,4,-0.03,-0.032948,0.1944,-0.007,0.5245,0.0,18,0.1944
sz.000069,2017-10-11,241.0247,2017-10-18,244.2075,TIME,6,0.013205,0.010182,0.1587,-0.006,0.6122,-0.0024,18,0.1587
sh.603355,2017-10-11,53.0227,2017-10-13,55.6738,TP,3,0.05,0.046913,0.1527,0.0273,0.5774,0.0,18,0.1527
sz.002145,2017-10-11,18.99,2017-10-18,18.6,TIME,6,-0.020537,-0.023501,0.1354,-0.0094,0.6756,0.0016,18,0.1354
sh.603998,2017-10-11,60.5108,2017-10-12,58.6955,SL,2,-0.03,-0.032948,0.1346,0.0371,0.608,0.002,18,0.1346
sz.002637,2017-10-11,51.4102,2017-10-13,49.8679,SL,3,-0.03,-0.032947,0.1336,-0.013,0.6856,0.0016,18,0.1336
sz.000957,2017-10-17,49.966,2017-10-19,48.467,SL,3,-0.03,-0.032948,0.2154,-0.1404,0.6722,-0.0046,9,0.2154
sz.000818,2017-10-17,17.4023,2017-10-18,16.8803,SL,2,-0.03,-0.032947,0.2008,-0.0421,0.5611,0.0078,9,0.2008
sh.600776,2017-10-17,27.7537,2017-10-19,26.9211,SL,3,-0.03,-0.032948,0.1873,-0.1145,0.7034,0.009,9,0.1873
sz.002446,2017-10-17,65.0499,2017-10-18,63.0984,SL,2,-0.03,-0.032948,0.1799,-0.1021,0.7033,0.01,9,0.1799
sh.600638,2017-10-17,159.9943,2017-10-24,157.6294,TIME,6,-0.014781,-0.017755,0.1687,-0.0316,0.6258,-0.0096,9,0.1687
sz.000899,2017-10-17,19.1331,2017-10-19,18.5591,SL,3,-0.03,-0.032948,0.166,-0.0156,0.6085,-0.0053,9,0.166
sz.000823,2017-10-17,29.6167,2017-10-18,31.0975,TP,2,0.05,0.046913,0.1517,-0.0617,0.7132,-0.0035,9,0.1517
sz.000550,2017-10-17,38.5802,2017-10-24,37.6217,TIME,6,-0.024845,-0.027801,0.15,-0.046,0.6939,-0.0014,9,0.15
sz.002105,2017-10-27,13.1265,2017-10-30,12.7327,SL,2,-0.03,-0.032947,0.2048,-0.0262,0.5273,-0.007,17,0.2048
sh.603222,2017-10-27,33.4381,2017-10-30,32.435,SL,2,-0.03,-0.032947,0.1946,-0.0357,0.5672,0.0073,17,0.1946
sz.002554,2017-10-27,39.5929,2017-11-02,38.4051,SL,5,-0.03,-0.032947,0.1769,-0.0311,0.6043,0.0,17,0.1769
sh.600266,2017-10-27,43.272,2017-10-30,41.9738,SL,2,-0.03,-0.032948,0.1763,-0.0267,0.5994,0.0,17,0.1763
sz.000955,2017-10-27,11.9234,2017-10-30,11.5657,SL,2,-0.03,-0.032947,0.1715,0.0276,0.5297,0.0095,17,0.1715
sz.002357,2017-10-27,44.785,2017-10-27,47.0243,TP,1,0.05,0.046913,0.1698,0.0028,0.5712,-0.0056,17,0.1698
sh.603223,2017-10-27,27.6117,2017-10-30,26.7834,SL,2,-0.03,-0.032947,0.1618,-0.0438,0.6612,-0.0108,17,0.1618
sz.000952,2017-10-27,16.0752,2017-10-30,15.593,SL,2,-0.03,-0.032947,0.1523,-0.0491,0.6928,0.0,17,0.1523
sz.000010,2017-10-31,65.396,2017-11-02,63.4342,SL,3,-0.03,-0.032948,0.2962,-0.1941,0.5508,0.0083,15,0.2962
sh.600676,2017-10-31,75.4668,2017-10-31,79.2401,TP,1,0.05,0.046913,0.2726,-0.1143,0.4899,0.0052,15,0.2726
sh.600992,2017-10-31,16.592,2017-11-02,17.4216,TP,3,0.05,0.046913,0.2483,-0.0607,0.4702,-0.0028,15,0.2483
sh.600650,2017-10-31,51.0322,2017-10-31,53.5838,TP,1,0.05,0.046913,0.24,-0.1042,0.5563,0.0066,15,0.24
sh.600119,2017-10-31,35.8795,2017-10-31,37.6735,TP,1,0.05,0.046913,0.2399,-0.1632,0.6449,0.0043,15,0.2399
sh.600284,2017-10-31,17.8558,2017-10-31,18.7486,TP,1,0.05,0.046913,0.2292,-0.0881,0.5591,-0.0019,15,0.2292
sh.600604,2017-10-31,330.9369,2017-11-03,321.0088,SL,4,-0.03,-0.032948,0.1925,-0.1028,0.673,-0.0012,15,0.1925
sz.000534,2017-10-31,38.4291,2017-11-07,38.0908,TIME,6,-0.008802,-0.011786,0.177,-0.0153,0.5804,0.0,15,0.177
sh.603088,2017-11-14,42.8103,2017-11-17,41.526,SL,4,-0.03,-0.032947,0.3681,-0.0435,0.1452,-0.0047,17,0.3681
sh.600961,2017-11-14,10.3414,2017-11-15,10.0311,SL,2,-0.03,-0.032948,0.2042,-0.0463,0.559,0.0022,17,0.2042
sh.600526,2017-11-14,33.794,2017-11-15,32.7802,SL,2,-0.03,-0.032947,0.1946,-0.0562,0.5978,0.0,17,0.1946
sh.600493,2017-11-14,18.4142,2017-11-17,17.8618,SL,4,-0.03,-0.032947,0.1729,-0.0556,0.6512,0.0043,17,0.1729
sz.002455,2017-11-14,70.3568,2017-11-14,68.2461,SL,1,-0.03,-0.032947,0.1544,-0.0633,0.7089,0.0058,17,0.1544
sh.603528,2017-11-14,33.0609,2017-11-14,32.0691,SL,1,-0.03,-0.032948,0.1443,0.0352,0.5864,0.0,17,0.1443
sh.600495,2017-11-14,40.5537,2017-11-14,39.3371,SL,1,-0.03,-0.032948,0.1427,-0.0344,0.6949,0.0014,17,0.1427
