code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.600970,2019-05-08,61.8069,2019-06-12,65.544,MA,25,0.060465,0.056256,200
sh.600973,2024-02-07,22.8364,2024-02-26,26.1081,MA,8,0.143266,0.139457,986
sh.600975,2020-02-05,32.5224,2020-02-11,41.7916,MA,5,0.285008,0.281056,525
sh.600975,2024-02-07,47.9628,2024-02-27,52.8404,MA,9,0.101695,0.098,986
sh.600977,2020-02-05,12.4653,2020-02-21,15.1439,MA,13,0.21489,0.211065,525
sh.600979,2024-02-07,12.038,2024-02-26,13.4984,MA,8,0.121324,0.117603,986
sh.600980,2018-10-22,12.5362,2018-11-01,13.4316,MA,9,0.071429,0.067682,282
sh.600980,2020-02-05,14.8387,2020-02-19,17.1824,MA,11,0.157942,0.154082,525
sh.600980,2024-02-07,15.7455,2024-02-26,18.3855,MA,8,0.16767,0.16386,986
sh.600981,2020-02-05,11.0952,2020-02-21,12.3921,MA,13,0.116883,0.113206,525
sh.600981,2024-02-07,8.084,2024-02-27,9.3939,MA,9,0.162037,0.158263,986
sh.600983,2024-02-07,14.1937,2024-02-08,13.0317,STOP,2,-0.081871,-0.085255,986
sh.600983,2024-02-20,14.671,2024-02-27,16.7669,MA,6,0.142857,0.139007,226
sh.600984,2025-01-08,5.7283,2025-01-16,6.3851,MA,7,0.11465,0.110951,298
sh.600986,2022-04-28,21.4252,2022-05-23,23.8973,MA,15,0.115385,0.111545,837
sh.600986,2024-02-07,17.7627,2024-02-20,21.3336,MA,4,0.201031,0.197103,986
sh.600986,2025-01-08,25.4943,2025-01-24,27.0156,MA,13,0.059675,0.055778,298
sh.601007,2020-02-05,8.1344,2020-02-21,9.4716,MA,13,0.164384,0.160613,525
sh.601007,2024-02-07,8.8746,2024-02-28,10.3166,MA,10,0.162479,0.158711,986
sh.601008,2022-04-28,6.0485,2022-05-20,6.4835,MA,14,0.071914,0.068272,837
sh.601010,2024-02-07,9.744,2024-02-28,10.9372,MA,10,0.122449,0.118739,986
sh.601011,2020-02-05,9.0456,2020-02-20,10.349,MA,12,0.144092,0.140371,525
sh.601011,2024-01-24,7.2534,2024-02-02,6.6732,STOP,8,-0.08,-0.083441,148
sh.601011,2024-02-07,5.961,2024-02-23,6.9105,MA,7,0.159292,0.155505,986
sh.601011,2024-06-11,4.6949,2024-06-19,4.3194,STOP,7,-0.08,-0.083394,145
sh.601011,2025-04-09,5.8291,2025-04-24,6.7259,MA,12,0.153846,0.150106,136
sh.601012,2018-06-21,125.1664,2018-07-06,115.1531,STOP,12,-0.08,-0.083179,348
sh.601015,2020-02-05,5.148,2020-02-21,5.7816,MA,13,0.123077,0.11937,525
sh.601020,2018-10-22,8.237,2018-11-01,9.1545,MA,9,0.111386,0.107707,282
sh.601020,2024-02-02,11.0833,2024-02-05,10.1967,STOP,2,-0.08,-0.083383,171
sh.601038,2018-10-22,4.4847,2018-11-05,4.7234,MA,11,0.053241,0.049647,282
sh.601038,2020-02-05,5.4813,2020-02-18,6.5713,MA,10,0.198864,0.195052,525
sh.601038,2022-03-17,11.4429,2022-03-30,12.5278,MA,10,0.094804,0.091069,122
sh.601038,2022-04-28,9.7844,2022-05-13,11.1404,MA,9,0.138593,0.134863,837
sh.601068,2019-05-08,5.8,2019-05-30,6.45,MA,17,0.112069,0.108387,200
sh.601068,2020-02-05,4.2396,2020-02-19,4.7921,MA,11,0.130332,0.126611,525
sh.601069,2017-12-07,13.1495,2017-12-15,14.144,MA,7,0.07563,0.07193,156
sh.601069,2022-04-28,11.0137,2022-05-23,11.5594,MA,15,0.049541,0.045958,837
